@relation wicket-1.5.3.0.arff

@attribute CountDeclMethodPrivate numeric
@attribute AvgLineCode numeric
@attribute CountLine numeric
@attribute MaxCyclomatic numeric
@attribute CountDeclMethodDefault numeric
@attribute AvgEssential numeric
@attribute CountDeclClassVariable numeric
@attribute SumCyclomaticStrict numeric
@attribute AvgCyclomatic numeric
@attribute AvgLine numeric
@attribute CountDeclClassMethod numeric
@attribute AvgLineComment numeric
@attribute AvgCyclomaticModified numeric
@attribute CountDeclFunction numeric
@attribute CountLineComment numeric
@attribute CountDeclClass numeric
@attribute CountDeclMethod numeric
@attribute SumCyclomaticModified numeric
@attribute CountLineCodeDecl numeric
@attribute CountDeclMethodProtected numeric
@attribute CountDeclInstanceVariable numeric
@attribute MaxCyclomaticStrict numeric
@attribute CountDeclMethodPublic numeric
@attribute CountLineCodeExe numeric
@attribute SumCyclomatic numeric
@attribute SumEssential numeric
@attribute CountStmtDecl numeric
@attribute loc numeric
@attribute CountStmtExe numeric
@attribute RatioCommentToCode numeric
@attribute CountLineBlank numeric
@attribute CountStmt numeric
@attribute MaxCyclomaticModified numeric
@attribute CountSemicolon numeric
@attribute AvgLineBlank numeric
@attribute CountDeclInstanceMethod numeric
@attribute AvgCyclomaticStrict numeric
@attribute PercentLackOfCohesion numeric
@attribute MaxInheritanceTree numeric
@attribute CountClassDerived numeric
@attribute CountClassCoupled numeric
@attribute CountClassBase numeric
@attribute CountInput_Max numeric
@attribute CountInput_Mean numeric
@attribute CountInput_Min numeric
@attribute CountOutput_Max numeric
@attribute CountOutput_Mean numeric
@attribute CountOutput_Min numeric
@attribute CountPath_Max numeric
@attribute CountPath_Mean numeric
@attribute CountPath_Min numeric
@attribute MaxNesting_Max numeric
@attribute MaxNesting_Mean numeric
@attribute MaxNesting_Min numeric
@attribute COMM numeric
@attribute ADEV numeric
@attribute DDEV numeric
@attribute Added_lines numeric
@attribute Del_lines numeric
@attribute OWN_LINE numeric
@attribute OWN_COMMIT numeric
@attribute MINOR_COMMIT numeric
@attribute MINOR_LINE numeric
@attribute MAJOR_COMMIT numeric
@attribute MAJOR_LINE numeric
@attribute bug {TRUE,FALSE}

@data
0,5,437,5,0,1,2,36,1,10,0,5,1,31,179,2,31,36,62,0,14,5,31,85,36,31,62,211,50,0.85,48,112,5,76,0,31,1,89,1,0,3,2,13,1.48387096774194,1,6,1.32258064516129,1,9,1.29032258064516,1,2,0.20588235294117604,0,0,0,0,0,0,0.7237442922374431,0.0,0,2,0,2,FALSE
0,12,437,2,0,1,20,31,1,16,0,2,1,25,89,17,25,31,93,5,2,2,20,145,31,25,107,298,68,0.3,50,175,2,142,1,25,1,100,9,0,18,2,4,1.0,0,21,3.88,0,2,1.16,1,1,0.17777777777777806,0,1,1,1,1,1,0.410958904109589,1.0,0,5,1,3,FALSE
0,23,99,2,0,1,4,4,1,29,0,1,1,3,28,3,3,4,27,2,0,2,1,27,4,3,31,59,9,0.47,12,40,2,35,3,3,1,100,5,0,3,2,3,1.33333333333333,0,10,4.66666666666667,1,2,1.33333333333333,1,0,0.0,0,0,0,0,0,0,0.5252525252525251,0.0,0,4,0,2,TRUE
0,6,91,1,0,1,0,6,1,8,1,1,1,6,27,2,6,6,28,1,1,1,5,15,6,6,25,53,6,0.51,11,31,1,24,0,5,1,80,3,0,12,2,2,0.666666666666667,0,10,3.1666666666666696,1,1,1.0,1,0,0.0,0,3,3,1,7,4,0.4395604395604401,1.0,0,3,1,2,FALSE
0,4,72,1,0,1,1,4,1,8,0,4,1,4,42,1,4,4,10,0,1,1,4,5,4,4,9,23,4,1.83,7,13,1,8,0,4,1,50,1,0,0,2,1,1.0,1,2,1.25,1,1,1.0,1,0,0.0,0,0,0,0,0,0,0.767123287671233,0.0,0,2,0,1,FALSE
0,4,74,1,0,1,0,6,1,6,0,2,1,6,32,1,6,6,13,0,1,1,6,7,6,6,10,33,6,0.97,9,16,1,9,0,6,1,0,1,0,1,1,3,1.8333333333333304,1,3,1.8333333333333304,1,1,1.0,1,4,0.444444444444444,0,0,0,0,0,0,0.6,0.0,0,2,0,1,FALSE
0,8,47,1,0,1,2,2,1,9,0,0,1,2,21,2,2,2,10,0,0,1,2,7,2,2,11,21,2,1.0,5,13,1,10,1,2,1,100,5,0,2,2,0,0.0,0,3,3.0,3,1,1.0,1,0,0.0,0,0,0,0,0,0,0.5625,0.0,0,3,0,2,FALSE
3,11,129,5,0,1,2,12,2,13,3,1,2,6,30,1,6,12,20,0,4,5,3,35,12,6,21,79,25,0.38,20,46,5,33,1,3,2,72,1,0,1,1,5,2.6666666666666696,1,9,4.5,1,5,2.0,1,4,1.75,0,0,0,0,0,0,0.5968992248062021,0.0,0,2,0,2,FALSE
0,7,79,1,0,1,0,5,1,8,1,0,1,5,22,2,5,5,26,1,0,1,4,13,5,5,23,48,5,0.46,9,28,1,22,0,4,1,0,3,0,12,2,1,0.2,0,10,3.6,1,1,1.0,1,0,0.0,0,3,3,1,7,4,0.40506329113924,1.0,0,4,1,1,FALSE
0,4,60,1,0,1,0,3,1,8,0,3,1,3,29,1,3,3,13,0,0,1,3,2,3,3,12,23,2,1.26,8,14,1,10,0,3,1,0,1,0,1,2,3,1.0,0,2,0.666666666666667,0,1,1.0,1,0,0.0,0,0,0,0,0,0,0.783333333333333,0.0,0,2,0,1,FALSE
0,4,65,1,0,1,0,3,1,10,0,6,1,3,39,1,3,3,8,0,2,1,3,4,3,3,8,19,4,2.05,7,12,1,8,0,3,1,33,1,1,0,2,3,2.3333333333333304,2,3,1.6666666666666698,1,1,1.0,1,4,0.666666666666667,0,0,0,0,0,0,0.818181818181818,0.0,0,2,0,2,FALSE
0,6,72,3,0,1,0,5,2,13,0,6,2,3,39,1,3,5,12,1,0,3,2,8,5,3,13,25,5,1.56,8,18,3,12,0,3,2,0,2,1,2,1,4,2.0,1,7,3.0,0,3,1.6666666666666698,1,2,1.2,0,0,0,0,0,0,0.753424657534247,0.0,0,2,0,2,FALSE
0,1,35,1,1,1,0,1,1,9,0,8,1,1,29,1,1,1,3,0,0,1,0,0,1,1,3,4,0,7.25,2,3,1,2,0,1,1,0,0,1,1,0,1,1.0,1,0,0.0,0,1,1.0,1,0,0.0,0,0,0,0,0,0,0.916666666666667,0.0,0,2,0,1,FALSE
0,6,104,3,2,1,1,7,1,10,0,4,1,5,46,2,5,7,16,0,3,3,3,14,7,7,17,44,11,1.05,14,28,3,20,0,5,1,41,1,1,2,2,4,2.4,1,5,2.0,0,3,1.4,1,2,0.75,0,0,0,0,0,0,0.666666666666667,0.0,0,3,0,2,FALSE
0,8,118,4,0,1,1,8,2,15,0,6,2,5,53,1,5,8,19,1,1,4,4,19,8,5,18,55,14,0.96,10,32,4,22,0,5,2,70,3,0,1,1,6,2.8,1,9,3.2,1,8,2.4,1,2,0.857142857142857,0,0,0,0,0,0,0.6890756302521012,0.0,0,2,0,3,FALSE
1,14,302,9,0,1,2,23,2,21,2,6,2,11,86,1,11,23,51,0,6,9,10,84,23,11,52,184,59,0.47,33,111,9,85,1,9,2,80,1,0,3,2,12,3.18181818181818,0,17,3.7272727272727297,1,96,10.1818181818182,1,4,1.15384615384615,0,0,0,0,0,0,0.672185430463576,0.0,0,2,0,3,FALSE
0,4,37,1,0,1,0,1,1,6,0,1,1,1,26,1,1,1,3,0,0,1,1,1,1,1,3,8,1,3.25,3,4,1,2,1,1,1,0,3,0,0,1,1,1.0,1,2,2.0,2,1,1.0,1,4,1.0,0,0,0,0,0,0,0.72972972972973,0.0,0,2,0,1,FALSE
0,2,64,1,0,1,1,4,1,6,1,3,1,4,38,1,4,4,11,0,0,1,4,3,4,4,11,19,2,2.0,7,13,1,10,0,3,1,100,3,1,2,1,2,1.5,1,2,1.5,1,1,1.0,1,2,0.28571428571428603,0,0,0,0,0,0,1.0,0.0,0,1,0,0,FALSE
0,6,161,3,0,1,0,13,1,11,0,4,1,9,64,1,9,12,33,4,1,3,5,23,12,9,28,83,15,0.77,14,43,3,32,0,9,1,77,3,2,12,3,3,1.22222222222222,0,6,3.22222222222222,1,3,1.33333333333333,1,2,0.6363636363636359,0,0,0,0,0,0,0.36645962732919296,0.0,0,6,0,4,FALSE
0,4,117,2,0,1,1,8,1,10,1,5,1,7,62,1,7,8,15,1,1,2,6,12,8,7,13,44,11,1.41,11,24,2,15,0,6,1,71,4,5,1,1,7,3.28571428571429,0,4,1.85714285714286,1,2,1.14285714285714,1,1,0.33333333333333304,0,0,0,0,0,0,0.512820512820513,0.0,0,5,0,3,FALSE
0,4,51,1,0,1,1,2,1,8,0,4,1,2,30,1,2,2,8,0,0,1,2,3,2,2,8,16,2,1.88,5,10,1,7,0,2,1,100,5,0,2,1,1,0.5,0,3,2.5,2,1,1.0,1,0,0.0,0,0,0,0,0,0,0.627450980392157,0.0,0,2,0,3,FALSE
0,4,49,1,0,1,1,2,1,8,0,4,1,2,30,1,2,2,7,0,0,1,2,3,2,2,7,15,2,2.0,4,9,1,6,0,2,1,100,5,0,2,1,1,0.5,0,3,2.5,2,1,1.0,1,0,0.0,0,0,0,0,0,0,0.6326530612244899,0.0,0,2,0,4,FALSE
2,7,320,5,0,1,4,24,1,13,0,5,1,16,131,2,16,23,51,4,4,6,10,56,23,16,47,151,40,0.87,38,87,5,62,0,16,2,100,6,0,10,1,6,2.0625,1,16,4.0625,1,5,1.4375,1,4,1.05,0,2,2,1,10,6,0.515625,1.0,0,2,1,6,FALSE
0,10,89,3,0,2,0,7,2,18,0,7,2,3,45,1,3,7,7,2,1,3,1,12,7,5,7,37,11,1.22,7,18,3,10,0,3,2,33,1,2,2,2,6,3.6666666666666696,2,6,3.6666666666666696,2,3,2.3333333333333304,2,3,1.33333333333333,1,0,0,0,0,0,0.674157303370786,0.0,0,3,0,3,FALSE
1,14,142,5,0,3,0,17,3,20,0,5,3,5,49,1,5,16,21,1,0,6,3,30,16,13,21,80,22,0.61,13,43,5,25,1,5,3,0,2,0,7,2,3,2.2,1,9,4.8,2,5,3.2,1,3,2.0,0,0,0,0,0,0,0.401408450704225,0.0,0,4,0,3,FALSE
0,1,69,1,3,1,0,3,1,8,0,7,1,3,49,1,3,3,15,0,0,1,0,0,3,3,11,15,0,3.27,5,11,1,10,0,3,1,0,0,0,0,0,1,1.0,1,1,1.0,1,1,1.0,1,0,0.0,0,0,0,0,0,0,0.5857142857142861,0.0,0,4,0,1,FALSE
0,1,60,1,1,1,0,1,1,6,0,5,1,1,43,1,1,1,13,0,0,1,0,0,1,1,9,14,0,3.07,3,9,1,8,0,1,1,0,0,0,1,0,1,1.0,1,1,1.0,1,1,1.0,1,0,0.0,0,0,0,0,0,0,0.633333333333333,0.0,0,4,0,1,FALSE
0,1,56,1,1,1,0,1,1,6,0,5,1,1,39,1,1,1,13,0,0,1,0,0,1,1,9,14,0,2.79,3,9,1,8,0,1,1,0,0,0,0,0,1,1.0,1,1,1.0,1,1,1.0,1,0,0.0,0,0,0,0,0,0,0.5535714285714289,0.0,0,5,0,1,FALSE
0,1,41,1,1,1,0,1,1,11,0,10,1,1,35,1,1,1,3,0,0,1,0,0,1,1,3,5,0,7.0,1,3,1,2,0,1,1,0,0,7,1,0,1,1.0,1,1,1.0,1,1,1.0,1,0,0.0,0,0,0,0,0,0,0.3170731707317069,0.0,0,4,0,1,FALSE
0,14,145,5,0,1,1,13,3,25,0,8,3,4,59,1,4,13,15,0,1,5,4,29,13,4,15,70,24,0.84,16,39,5,25,1,4,3,50,1,0,3,2,7,5.25,4,6,3.25,1,16,7.0,2,1,1.0,1,0,0,0,0,0,0.7310344827586209,0.0,0,4,0,3,FALSE
0,13,164,5,0,1,1,14,3,23,0,8,3,5,70,1,5,14,19,1,1,5,4,30,14,5,17,77,25,0.91,17,42,5,27,1,5,3,50,2,0,3,2,7,4.4,3,6,2.8,1,16,5.8,1,1,0.545454545454545,0,0,0,0,0,0,0.6219512195121949,0.0,0,4,0,3,FALSE
2,10,345,4,0,1,5,27,2,19,10,9,2,13,173,3,13,27,49,0,0,4,11,61,27,13,40,151,41,1.15,21,81,4,53,0,3,2,74,2,0,8,2,7,4.15384615384615,1,5,3.23076923076923,2,8,2.69230769230769,1,1,0.5217391304347829,0,0,0,0,0,0,0.365217391304348,0.0,0,4,0,3,FALSE
0,5,42,1,0,1,0,1,1,5,0,0,1,1,27,1,1,1,6,0,0,1,1,2,1,1,6,12,2,2.25,3,8,1,6,0,1,1,0,2,0,3,1,6,6.0,6,4,4.0,4,1,1.0,1,0,0.0,0,0,0,0,0,0,0.452380952380952,0.0,0,4,0,1,FALSE
0,8,145,4,0,2,3,16,2,13,0,5,2,7,64,1,7,16,16,0,0,4,7,21,16,13,19,68,18,0.94,13,37,4,16,0,7,2,100,2,0,1,2,13,4.28571428571429,1,3,2.14285714285714,1,4,2.28571428571429,1,3,1.6666666666666698,0,0,0,0,0,0,0.6344827586206899,0.0,0,3,0,3,FALSE
1,5,124,1,0,1,0,8,1,7,0,1,1,8,31,4,8,8,35,2,0,1,5,17,8,8,29,74,14,0.42,19,43,1,31,0,8,1,0,5,0,4,2,2,0.375,0,6,2.375,1,1,1.0,1,0,0.0,0,1,1,1,124,0,1.0,1.0,0,1,1,0,FALSE
0,3,38,1,0,1,1,1,1,6,0,3,1,1,24,1,1,1,7,0,0,1,1,1,1,1,6,11,0,2.18,3,6,1,4,0,1,1,100,5,0,0,1,0,0.0,0,1,1.0,1,1,1.0,1,0,0.0,0,0,0,0,0,0,0.5526315789473679,0.0,0,3,0,2,FALSE
0,8,145,3,0,1,1,11,1,11,0,2,1,8,41,3,8,10,31,2,3,4,6,35,10,8,29,89,18,0.46,15,47,3,34,0,8,1,50,2,0,10,3,4,1.25,0,11,4.375,1,3,1.25,1,2,0.5,0,0,0,0,0,0,0.579310344827586,0.0,0,4,0,4,FALSE
0,3,36,1,0,1,1,1,1,6,0,3,1,1,24,1,1,1,5,0,0,1,1,1,1,1,5,9,0,2.67,3,5,1,3,0,1,1,100,5,0,0,1,0,0.0,0,1,1.0,1,1,1.0,1,0,0.0,0,0,0,0,0,0,0.555555555555556,0.0,0,2,0,3,FALSE
0,9,129,1,0,1,0,8,1,11,0,2,1,8,39,3,8,8,29,2,1,1,6,42,8,8,27,79,23,0.49,11,50,1,41,0,8,1,66,2,0,8,2,1,0.5,0,8,4.125,1,1,1.0,1,0,0.0,0,0,0,0,0,0,0.3410852713178289,0.0,0,5,0,3,FALSE
0,8,125,1,0,1,0,8,1,11,0,2,1,8,40,3,8,8,22,2,1,1,6,38,8,8,20,74,23,0.54,11,43,1,34,0,8,1,33,2,0,7,2,2,0.75,0,8,3.875,1,1,1.0,1,0,0.0,0,5,5,1,625,625,0.672,1.0,0,3,1,1,FALSE
0,4,35,1,0,1,0,1,1,5,0,1,1,1,26,1,1,1,3,0,0,1,1,1,1,1,3,8,1,3.25,1,4,1,2,0,1,1,0,3,0,0,1,1,1.0,1,2,2.0,2,1,1.0,1,0,0.0,0,1,1,1,1,0,0.7142857142857142,1.0,0,3,1,2,FALSE
0,4,34,1,0,1,0,1,1,4,0,0,1,1,21,1,1,1,6,0,0,1,1,1,1,1,4,11,1,1.91,2,5,1,3,0,1,1,0,2,0,0,1,0,0.0,0,1,1.0,1,1,1.0,1,2,0.5,0,2,2,2,36,2,0.941176470588235,0.5,0,2,2,0,FALSE
0,6,176,2,0,1,1,21,1,10,0,3,1,11,70,1,11,16,30,6,3,4,5,29,16,11,26,85,21,0.82,21,47,2,31,0,11,2,77,4,3,8,1,5,1.90909090909091,0,7,2.7272727272727297,0,2,1.45454545454545,1,2,0.6428571428571429,0,1,1,1,0,5,0.29545454545454497,1.0,0,6,1,3,FALSE
0,12,362,12,0,1,3,33,2,20,1,5,2,14,111,1,14,33,66,11,0,12,3,106,33,18,59,208,65,0.53,43,124,12,94,1,13,2,97,3,9,23,1,9,2.71428571428571,0,16,4.42857142857143,0,288,22.071428571428598,1,2,0.625,0,3,3,1,25,17,0.42265193370165705,1.0,0,5,1,7,TRUE
0,3,117,2,1,1,1,9,1,6,0,3,1,6,65,2,8,9,17,0,4,2,7,8,9,8,14,39,7,1.67,13,21,2,14,0,8,1,100,1,0,2,2,4,1.875,0,4,1.75,1,1,0.75,0,0,0.0,0,2,2,1,119,2,1.0,1.0,0,1,1,0,FALSE
0,5,222,2,0,1,3,16,1,11,0,5,1,12,105,2,12,16,34,6,4,2,6,29,16,12,31,90,22,1.17,27,53,2,36,0,12,1,80,4,16,6,2,5,2.3333333333333304,1,5,2.3333333333333304,0,2,1.33333333333333,1,1,0.4,0,0,0,0,0,0,0.563063063063063,0.0,0,3,0,7,FALSE
17,9,1417,7,0,1,2,145,2,14,1,4,2,79,437,10,79,142,218,5,20,7,57,344,142,84,196,813,266,0.54,168,462,7,312,0,78,2,92,6,2,31,3,102,4.10126582278481,0,22,3.21518987341772,0,26,2.15189873417722,1,2,0.577777777777778,0,10,10,5,177,78,0.29449152542372903,0.3,0,6,5,9,FALSE
0,0,29,0,0,0,1,0,0,0,0,0,0,0,21,1,0,0,5,0,0,0,0,1,0,0,4,6,0,3.5,2,4,0,3,0,0,0,0,2,0,0,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1.0,0.0,0,1,0,0,FALSE
0,4,64,1,0,1,1,3,1,9,0,5,1,3,40,1,3,3,8,2,0,1,1,4,3,3,7,19,3,2.11,5,10,1,6,0,3,1,100,5,1,2,1,6,2.6666666666666696,1,3,1.6666666666666698,0,1,1.0,1,0,0.0,0,0,0,0,0,0,0.40625,0.0,0,4,0,2,FALSE
0,4,56,1,0,1,1,3,1,4,0,0,1,3,29,1,3,3,8,0,0,1,3,4,3,3,8,19,3,1.53,8,11,1,7,0,3,1,100,1,3,1,2,1,1.0,1,1,1.0,1,1,1.0,1,1,0.166666666666667,0,0,0,0,0,0,0.5178571428571429,0.0,0,4,0,0,FALSE
0,6,87,2,0,1,1,4,1,12,0,6,1,3,48,1,3,4,14,0,2,2,3,8,4,3,13,31,7,1.55,8,20,2,15,0,3,1,55,2,0,4,1,4,3.0,2,5,3.0,2,2,1.33333333333333,1,1,0.6,0,0,0,0,0,0,0.632183908045977,0.0,0,4,0,2,FALSE
0,4,111,2,0,1,1,10,1,9,0,4,1,7,59,1,7,10,18,0,1,2,7,13,10,7,16,41,7,1.44,11,23,2,15,0,7,1,71,1,3,1,2,3,2.57142857142857,2,3,2.0,1,1,1.0,1,0,0.0,0,0,0,0,0,0,0.594594594594595,0.0,0,4,0,2,TRUE
0,4,103,2,0,1,1,10,1,8,0,3,1,7,48,1,7,10,16,0,1,2,7,11,10,7,16,39,7,1.23,16,23,2,15,0,7,1,71,1,1,1,2,3,2.28571428571429,1,3,2.0,1,1,1.0,1,0,0.0,0,0,0,0,0,0,0.699029126213592,0.0,0,3,0,2,TRUE
0,4,64,1,0,1,1,3,1,6,0,2,1,3,38,1,3,3,10,0,0,1,3,4,3,3,9,21,3,1.81,5,12,1,8,0,3,1,100,2,0,1,1,6,3.0,1,2,1.6666666666666698,1,1,1.0,1,0,0.0,0,0,0,0,0,0,0.5625,0.0,0,3,0,4,FALSE
0,9,196,3,1,1,1,18,2,14,1,4,2,9,71,1,9,14,28,6,0,4,2,48,14,9,25,105,36,0.68,20,61,3,47,1,8,2,100,4,0,10,1,3,1.33333333333333,0,9,3.88888888888889,0,4,1.6666666666666698,1,3,0.916666666666667,0,0,0,0,0,0,0.7346938775510201,0.0,0,3,0,3,FALSE
0,8,211,5,0,1,2,20,2,14,0,4,2,10,87,1,10,18,28,9,0,6,1,40,18,10,24,105,27,0.83,19,51,5,33,0,10,2,95,5,5,7,1,2,1.2,0,15,4.0,0,8,2.1,1,3,1.0,0,0,0,0,0,0,0.454976303317536,0.0,0,6,0,1,FALSE
0,7,224,3,0,1,1,20,1,11,0,3,1,15,86,2,15,20,32,6,2,3,9,47,20,15,32,115,25,0.75,23,57,3,38,0,15,1,87,5,8,5,2,9,1.46666666666667,0,9,2.46666666666667,0,3,1.33333333333333,1,2,0.5,0,1,1,1,21,11,0.7098214285714292,1.0,0,4,1,2,FALSE
1,7,125,2,0,1,1,9,1,11,2,4,1,8,59,3,8,9,21,2,0,2,5,17,9,8,20,58,11,1.02,8,31,2,21,0,6,1,100,6,1,7,2,5,2.375,1,4,1.75,1,2,1.125,1,1,0.25,0,0,0,0,0,0,0.696,0.0,0,4,0,1,FALSE
0,6,61,2,0,1,1,3,2,8,0,1,2,2,33,1,2,3,11,0,0,2,2,6,3,2,10,23,4,1.43,5,14,2,10,0,2,2,100,6,4,3,1,2,1.0,0,4,3.0,2,2,1.5,1,1,0.75,0,0,0,0,0,0,0.737704918032787,0.0,0,3,0,2,FALSE
0,1,101,1,3,1,1,3,1,8,0,7,1,3,84,1,3,3,9,0,0,1,0,1,3,3,9,11,0,7.64,6,9,1,8,0,3,1,100,3,7,1,1,3,3.0,3,1,1.0,1,1,1.0,1,0,0.0,0,0,0,0,0,0,0.594059405940594,0.0,0,5,0,3,TRUE
0,1,41,1,1,1,0,1,1,4,0,3,1,1,34,1,1,1,3,0,0,1,0,0,1,1,3,5,0,6.8,2,3,1,2,0,1,1,0,0,4,0,0,1,1.0,1,1,1.0,1,1,1.0,1,0,0.0,0,0,0,0,0,0,0.41463414634146295,0.0,0,3,0,1,FALSE
0,1,101,1,1,1,0,1,1,5,0,4,1,1,92,1,1,1,5,0,0,1,0,0,1,1,5,7,0,13.14,2,5,1,4,0,1,1,0,0,1,1,0,1,1.0,1,1,1.0,1,1,1.0,1,0,0.0,0,0,0,0,0,0,0.96039603960396,0.0,0,1,0,1,FALSE
0,6,163,2,0,1,2,13,1,11,0,5,1,12,75,2,12,13,22,8,0,2,4,25,13,12,25,73,13,1.03,15,38,2,25,0,12,1,100,6,21,7,2,4,1.25,0,3,1.5833333333333302,0,2,1.08333333333333,1,2,0.294117647058824,0,1,1,1,17,0,0.30061349693251505,1.0,0,5,1,3,FALSE
0,6,202,3,0,1,2,21,1,10,0,3,1,16,78,2,16,19,28,9,0,5,7,34,19,16,29,102,21,0.76,22,50,3,31,0,16,1,100,5,66,7,2,4,0.9375,0,6,1.875,0,3,1.1875,1,2,0.4,0,1,1,1,17,0,0.485148514851485,1.0,0,6,1,2,FALSE
