@relation xerces-0.init.arff

@attribute loc numeric
@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {TRUE,FALSE}

@data
595,11,1,0,8,32,29,1,7,7,0.6384615379999999,0.153846154,2,0.0,0.25,0,0,51.90909091,14,2.0909,FALSE
1044,48,2,1,5,98,668,1,4,37,0.904255319,1.0,5,0.737142857,0.145662848,2,10,20.58333333,3,1.0417,TRUE
179,4,3,0,6,28,0,1,6,1,0.666666667,0.5,0,0.947368421,0.5,2,13,43.25,8,2.5,TRUE
1643,47,1,11,29,87,781,20,14,34,0.910079051,0.818181818,6,0.0,0.127090301,0,0,33.4893617,31,2.766,TRUE
44,3,5,0,4,6,0,1,4,1,0.75,0.5,0,0.969230769,0.5555555560000001,3,22,13.0,2,1.0,FALSE
12,1,1,0,7,2,0,7,0,1,2.0,0.0,0,0.0,1.0,0,0,3.0,0,0.0,FALSE
76,7,2,1,5,10,9,3,3,7,0.944444444,0.666666667,0,0.88,0.571428571,1,3,9.428571429,3,1.7143,FALSE
161,9,1,5,8,11,0,5,3,5,0.638888889,1.0,2,0.0,0.466666667,0,0,15.88888889,2,0.8889,TRUE
9,2,3,0,8,4,1,8,0,2,2.0,0.0,0,1.0,0.75,0,0,3.5,0,0.0,FALSE
889,20,1,0,7,31,18,5,3,18,0.811145511,0.764705882,2,0.0,0.28125,0,0,42.6,5,1.95,FALSE
549,19,1,0,9,34,43,4,5,13,0.688888889,0.7,4,0.0,0.27777777800000003,0,0,27.36842105,11,2.6316,FALSE
12,12,1,0,4,12,66,3,1,12,2.0,0.0,0,0.0,0.541666667,0,0,0.0,1,1.0,FALSE
145,2,2,0,8,5,1,1,8,1,2.0,0.0,0,0.75,0.571428571,0,0,71.5,1,0.5,FALSE
79,10,1,1,5,11,27,3,2,10,0.8888888890000001,0.0,2,0.0,0.4,0,0,6.0,1,0.9,TRUE
2421,29,2,0,9,57,0,1,8,22,0.485714286,0.9,3,0.205882353,0.242857143,1,2,82.13793103,4,1.2759,TRUE
426,3,1,0,5,5,0,2,3,3,0.0,0.0,0,0.0,0.533333333,0,0,140.0,1,0.6667,FALSE
9,2,3,0,8,4,1,8,0,2,2.0,0.0,0,1.0,0.75,0,0,3.5,0,0.0,FALSE
135,4,3,0,6,15,0,1,6,1,0.666666667,0.5,0,0.952380952,0.5,2,16,32.25,4,2.0,TRUE
107,5,1,0,5,7,10,5,0,5,2.0,0.0,0,0.0,0.35,0,0,20.4,3,1.8,FALSE
17,1,1,0,7,1,0,7,0,1,2.0,0.0,0,0.0,1.0,0,0,0.0,1,1.0,FALSE
25,3,1,0,0,8,3,0,0,3,2.0,0.0,0,0.0,0.333333333,0,0,7.333333333,1,0.6667,TRUE
9,2,3,0,8,4,1,8,0,2,2.0,0.0,0,1.0,0.75,0,0,3.5,0,0.0,FALSE
1004,8,1,0,11,38,0,2,9,3,0.781512605,1.0,4,0.0,0.375,0,0,122.375,2,1.0,FALSE
97,3,1,0,9,15,1,1,8,3,0.5,0.0,3,0.0,0.458333333,0,0,30.0,1,0.6667,FALSE
173,3,1,0,5,5,0,2,3,3,0.0,1.0,0,0.0,0.6,0,0,56.0,1,0.6667,FALSE
2119,3,3,0,0,4,1,0,0,2,0.5,0.0,0,0.974358974,1.0,0,0,705.0,1,0.3333,FALSE
154,6,2,0,6,14,0,3,3,1,0.2,1.0,2,0.615384615,0.4166666670000001,1,2,24.33333333,1,0.8333,FALSE
77,9,1,3,8,11,20,6,2,0,0.825,1.0,3,0.0,0.518518519,0,0,7.0,1,0.8889,FALSE
247,3,3,0,0,4,1,0,0,2,0.5,0.0,0,0.974358974,1.0,0,0,81.0,1,0.3333,FALSE
186,5,1,0,6,14,0,5,1,4,1.154761905,0.095238095,0,0.0,0.5,0,0,32.0,9,2.2,FALSE
9,2,3,0,9,4,1,9,0,2,2.0,0.0,0,1.0,0.75,0,0,3.5,0,0.0,FALSE
3,3,1,0,0,3,3,0,0,3,2.0,0.0,0,0.0,1.0,0,0,0.0,1,1.0,TRUE
6193,127,1,0,40,255,5157,12,39,72,0.947260625,0.989247312,21,0.0,0.111479486,0,0,47.03149606,21,1.6929,TRUE
2970,33,2,2,14,69,0,3,12,20,0.5347222220000001,1.0,2,0.184210526,0.1875,1,3,88.72727273,2,1.0606,TRUE
156,4,3,0,6,18,0,1,6,1,0.666666667,0.5,0,0.96,0.5,2,16,37.5,4,2.25,FALSE
1,1,1,0,2,1,0,0,2,1,2.0,0.0,0,0.0,1.0,0,0,0.0,1,1.0,FALSE
20,4,4,1,3,7,6,2,2,4,1.333333333,0.0,0,0.952380952,0.4375,1,5,3.75,1,0.75,FALSE
23,23,1,0,6,23,253,5,1,23,2.0,0.0,0,0.0,0.376811594,0,0,0.0,1,1.0,TRUE
150,12,1,0,0,28,0,0,0,12,0.5,1.0,2,0.0,0.196969697,0,0,11.33333333,1,0.9167,TRUE
30,18,1,0,0,18,153,0,0,18,1.058823529,0.0,0,0.0,0.333333333,0,0,0.0,1,1.0,TRUE
33,3,4,0,4,5,0,1,4,1,0.75,0.5,0,0.966101695,0.5555555560000001,2,16,9.333333332999999,1,0.6667,FALSE
109,3,4,0,4,13,0,1,4,1,0.75,0.5,0,0.967741935,0.5555555560000001,3,22,34.66666667,9,3.3333,FALSE
3,3,1,0,0,3,3,0,0,3,2.0,0.0,0,0.0,1.0,0,0,0.0,1,1.0,TRUE
60,5,2,0,6,11,0,3,3,1,0.25,1.0,1,0.666666667,0.45,1,2,10.8,1,0.8,FALSE
24,4,2,1,4,7,6,2,3,4,1.333333333,0.0,0,0.936170213,0.5,1,3,4.75,1,0.75,FALSE
624,30,2,1,11,73,0,7,8,27,0.879310345,0.833333333,1,0.611111111,0.34,1,13,19.6,6,1.9333,TRUE
97,7,3,2,8,17,13,5,4,7,1.0,0.5,0,0.9,0.342857143,1,5,12.57142857,2,1.1429,FALSE
9,1,5,1,1,2,0,1,0,1,2.0,0.0,0,1.0,1.0,0,0,5.0,0,0.0,TRUE
1583,9,3,0,5,16,0,0,5,0,0.579545455,1.0,0,0.826086957,0.3666666670000001,1,3,173.66666669999995,1,0.8889,FALSE
166,12,1,0,0,24,0,0,0,12,0.303030303,0.0,0,0.0,0.4375,0,0,12.58333333,2,1.0,TRUE
233,5,1,0,3,9,0,2,1,5,0.166666667,1.0,1,0.0,0.533333333,0,0,45.0,4,1.4,FALSE
2,2,1,0,8,2,1,7,1,2,2.0,0.0,0,0.0,0.6,0,0,0.0,1,1.0,FALSE
370,12,1,0,5,23,8,2,4,8,0.670454545,1.0,4,0.0,0.319444444,0,0,29.16666667,11,4.4167,TRUE
4,4,1,0,0,4,6,0,0,4,2.0,0.0,0,0.0,1.0,0,0,0.0,1,1.0,FALSE
48,6,2,1,3,10,9,2,2,6,1.2,0.0,0,0.8979591840000001,0.4166666670000001,1,4,6.833333333,2,1.3333,FALSE
54,6,3,3,0,8,0,0,0,6,0.1,1.0,0,0.85,0.5555555560000001,1,2,7.666666667,3,0.8333,TRUE
14,3,1,0,0,5,1,0,0,2,0.5,0.0,0,0.0,0.5,0,0,3.333333333,1,0.3333,TRUE
2,2,1,0,10,2,1,5,5,2,2.0,0.0,0,0.0,0.666666667,0,0,0.0,1,1.0,FALSE
19,1,4,1,0,2,0,0,0,1,2.0,0.0,0,1.0,1.0,0,0,7.0,0,0.0,TRUE
2103,46,1,0,4,115,683,0,4,27,0.838888889,1.0,2,0.0,0.13777777800000002,0,0,44.54347826,19,4.0435,FALSE
6,3,1,0,21,3,3,21,0,3,1.5,0.0,0,0.0,0.533333333,0,0,0.0,1,1.0,TRUE
74,8,1,0,8,18,26,1,7,7,0.7142857140000001,1.0,1,0.0,0.25,0,0,8.0,1,0.875,FALSE
252,7,2,0,7,11,0,7,0,6,0.75,1.0,0,0.6,0.428571429,1,2,33.85714286,2,1.0,FALSE
59,18,1,0,20,18,153,19,1,18,1.058823529,0.0,0,0.0,0.296296296,0,0,0.0,1,1.0,TRUE
221,5,1,0,2,14,0,1,1,4,1.178571429,0.071428571,0,0.0,0.5,0,0,37.6,9,2.2,FALSE
208,3,3,0,0,4,1,0,0,2,0.5,0.0,0,0.974358974,1.0,0,0,68.0,1,0.3333,FALSE
395,4,1,0,3,9,2,3,0,2,0.666666667,1.0,0,0.0,0.5,0,0,97.25,1,0.5,FALSE
6,6,1,0,5,6,15,4,1,6,2.0,0.0,0,0.0,1.0,0,0,0.0,1,1.0,FALSE
5,5,1,0,4,5,10,3,1,5,2.0,0.0,0,0.0,0.4,0,0,0.0,1,1.0,FALSE
286,3,3,0,0,4,1,0,0,2,0.5,0.0,0,0.974358974,1.0,0,0,94.0,1,0.3333,TRUE
135,2,2,0,8,14,1,1,8,1,2.0,0.0,0,0.75,0.571428571,2,2,66.5,1,0.5,FALSE
5,5,1,0,0,5,10,0,0,5,2.0,0.0,0,0.0,0.45,0,0,0.0,1,1.0,TRUE
377,10,1,0,5,44,45,3,2,9,2.0,0.0,0,0.0,0.4,0,0,36.7,5,3.5,FALSE
205,5,1,0,5,14,0,4,1,4,1.159090909,0.13636363599999998,0,0.0,0.5,0,0,35.6,9,2.2,FALSE
62,6,2,0,5,8,0,3,2,6,0.981818182,0.0,1,0.642857143,0.375,0,0,7.5,1,0.8333,TRUE
9,9,1,0,0,9,36,0,0,9,2.0,0.0,0,0.0,0.592592593,0,0,0.0,1,1.0,TRUE
12,12,1,0,0,12,66,0,0,12,2.0,0.0,0,0.0,0.833333333,0,0,0.0,1,1.0,TRUE
7275,41,2,0,11,74,0,1,10,22,0.596875,0.875,3,0.152173913,0.181818182,1,4,176.0487805,2,1.0488,TRUE
1,1,1,0,2,1,0,1,1,1,2.0,0.0,0,0.0,1.0,0,0,0.0,1,1.0,FALSE
608,6,1,0,2,11,0,2,0,6,0.8444444440000001,0.0,0,0.0,0.458333333,0,0,98.83333333,8,2.5,FALSE
6081,100,1,0,31,240,2870,4,30,53,0.973956432,1.0,9,0.0,0.135625,0,0,58.98,11,1.48,TRUE
75,6,1,0,3,16,13,1,3,5,0.8,0.0,1,0.0,0.533333333,0,0,11.33333333,4,1.3333,TRUE
3206,36,1,0,7,70,112,2,5,30,0.869387755,1.0,3,0.0,0.24691358,0,0,87.08333333,9,3.1667,FALSE
2,2,1,0,4,2,1,1,3,2,2.0,0.0,0,0.0,1.0,0,0,0.0,1,1.0,FALSE
959,48,2,1,41,121,1072,30,26,47,0.939209726,0.857142857,2,0.5,0.17992424199999998,1,9,18.83333333,23,1.9167,TRUE
1,1,1,0,0,1,0,0,0,1,2.0,0.0,0,0.0,1.0,0,0,0.0,1,1.0,TRUE
12,9,1,0,9,9,36,9,1,9,1.125,0.0,0,0.0,0.4074074070000001,0,0,0.0,1,1.0,FALSE
7825,10,1,0,12,13,5,12,0,8,0.908496732,0.176470588,0,0.0,0.25,0,0,779.8,9,4.7,FALSE
2499,31,2,0,13,58,0,1,12,24,0.814583333,0.625,3,0.194444444,0.203030303,1,4,79.09677419,5,1.2581,TRUE
7,7,1,0,0,7,21,0,0,7,2.0,0.0,0,0.0,0.428571429,0,0,0.0,1,1.0,FALSE
206,5,1,0,3,19,0,2,2,4,0.25,1.0,1,0.0,0.44,0,0,39.0,16,4.8,FALSE
81,10,2,1,5,13,15,3,3,10,0.944444444,0.75,0,0.830188679,0.533333333,1,4,6.7,2,1.5,FALSE
118,4,3,0,4,17,0,1,4,1,0.666666667,0.5,0,0.94,0.5,1,13,28.0,7,2.25,FALSE
223,8,2,0,2,32,10,1,2,7,1.040816327,0.214285714,0,0.588235294,0.46875,1,1,25.125,6,1.5,TRUE
283,18,2,1,10,40,67,8,4,16,0.911764706,0.833333333,0,0.7333333329999999,0.361111111,1,9,14.38888889,6,1.5556,TRUE
4,4,1,0,0,4,6,0,0,4,2.0,0.0,0,0.0,0.625,0,0,0.0,1,1.0,TRUE
265,8,3,0,5,23,26,0,5,2,1.142857143,1.0,0,0.963157895,0.296875,0,0,32.0,8,3.0,FALSE
530,19,1,0,3,28,47,1,2,13,0.533333333,0.2,3,0.0,0.315789474,0,0,26.63157895,10,4.0526,TRUE
2,2,1,0,0,2,1,0,0,2,2.0,0.0,0,0.0,1.0,0,0,0.0,1,1.0,FALSE
13,2,3,0,10,3,0,10,0,2,1.0,0.5,0,0.944444444,0.75,0,0,4.5,1,0.5,FALSE
40,3,3,0,4,6,0,1,4,1,0.75,0.5,0,0.960784314,0.5555555560000001,2,13,11.66666667,1,0.6667,FALSE
680,11,1,0,8,33,29,1,7,7,0.6764705879999999,0.117647059,2,0.0,0.222222222,0,0,59.27272727,20,2.6364,FALSE
95,4,3,0,5,15,0,1,5,1,0.666666667,0.5,0,0.946428571,0.5,2,17,22.25,2,1.0,FALSE
174,2,2,0,9,17,1,2,9,1,2.0,0.0,0,0.75,0.571428571,2,2,86.0,1,0.5,TRUE
2149,27,1,0,13,66,117,6,8,8,0.936493739,0.069767442,7,0.0,0.230769231,0,0,77.0,2,1.0,TRUE
3694,131,1,2,29,288,7155,4,27,83,0.943123543,1.0,22,0.0,0.095546559,0,0,26.69465649,6,1.1603,TRUE
55,3,3,0,5,10,0,1,5,1,0.75,0.5,0,0.961538462,0.5555555560000001,2,6,16.66666667,1,0.6667,FALSE
2223,44,3,0,20,76,418,12,19,35,0.80730897,0.952380952,1,0.682170543,0.224747475,2,16,49.04545455,10,2.7727,TRUE
13,1,1,0,7,2,0,7,0,1,2.0,0.0,0,0.0,1.0,0,0,3.0,0,0.0,TRUE
159,12,2,1,9,20,26,6,4,12,0.803030303,0.833333333,3,0.814814815,0.395833333,1,4,11.75,2,1.4167,TRUE
20,4,3,1,3,7,6,2,2,4,1.333333333,0.0,0,0.947368421,0.4375,1,5,3.75,1,0.75,FALSE
610,11,1,0,8,34,29,1,7,7,0.6384615379999999,0.153846154,2,0.0,0.222222222,0,0,53.27272727,14,2.0909,TRUE
3,3,1,0,4,3,3,3,2,3,2.0,0.0,0,0.0,0.666666667,0,0,0.0,1,1.0,FALSE
5945,51,1,0,7,121,321,1,6,11,0.905185185,1.0,6,0.0,0.165454545,0,0,113.9803922,3,1.0588,TRUE
191,5,1,3,10,15,8,4,9,3,0.75,1.0,0,0.0,0.333333333,0,0,36.6,1,0.6,FALSE
41,4,2,1,6,9,0,4,3,4,0.833333333,0.5,1,0.936170213,0.4375,1,4,8.75,2,1.0,FALSE
4,4,1,0,0,4,6,0,0,4,2.0,0.0,0,0.0,0.625,0,0,0.0,1,1.0,TRUE
838,21,1,0,9,27,0,8,1,20,0.806666667,1.0,1,0.0,0.371428571,0,0,38.19047619,6,2.8095,TRUE
74,4,3,0,5,11,0,1,5,1,0.666666667,0.5,0,0.94,0.5,2,12,17.0,2,1.0,FALSE
3,3,1,0,5,3,3,5,0,3,2.0,0.0,0,0.0,0.583333333,0,0,0.0,1,1.0,FALSE
1102,5,1,0,2,14,0,1,1,4,1.243730408,0.009404389,0,0.0,0.5,0,0,155.6,9,2.2,FALSE
