@relation poi-2.0.arff

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {TRUE,FALSE}

@data
18,1,0,32,19,107,32,0,18,0.382352941,170,1.0,0,0.0,0.433333333,0,0,8.333333332999999,2,1.2222,FALSE
10,2,0,0,19,0,0,0,10,0.0,86,1.0,0,0.5,0.32,1,2,7.5,1,0.9,FALSE
84,1,0,87,269,2582,45,43,46,0.907321594,3213,1.0,4,0.0,0.16867469899999998,0,0,37.0952381,19,1.9286,TRUE
10,2,0,4,14,45,2,2,10,1.111111111,67,0.333333333,0,0.272727273,0.32,0,0,5.4,1,0.8,TRUE
10,1,2,6,14,19,3,4,6,0.611111111,71,1.0,2,0.0,0.325,0,0,5.9,3,1.3,FALSE
22,1,1,14,56,197,4,10,16,0.8138528140000001,378,0.545454545,1,0.0,0.369047619,0,0,15.68181818,4,1.0455,TRUE
2,1,0,5,2,1,5,0,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,1,1.0,FALSE
14,2,0,8,34,41,1,7,12,0.711538462,225,0.0,0,0.458333333,0.28571428600000004,1,5,14.78571429,9,2.0,TRUE
13,2,0,8,32,52,4,4,11,0.933333333,1216,0.4,0,0.55,0.415384615,1,6,92.15384615,4,1.3846,TRUE
2,1,0,5,2,1,5,0,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,1,1.0,FALSE
2,1,0,3,16,1,1,2,2,2.0,231,0.0,0,0.0,0.5,0,0,114.5,17,8.5,FALSE
54,1,0,32,140,651,3,29,7,0.766925638,1806,0.705882353,1,0.0,0.174004193,0,0,32.12962963,14,3.0556,TRUE
6,1,0,5,25,7,2,3,4,0.75,230,1.0,0,0.0,0.55,0,0,36.66666667,9,2.0,TRUE
3,1,0,3,8,0,3,0,3,0.0,32,0.0,0,0.0,0.666666667,0,0,9.333333332999999,1,0.6667,FALSE
2,1,0,5,10,1,1,4,0,2.0,82,0.0,0,0.0,0.5,0,0,40.0,1,0.5,FALSE
16,1,0,3,17,78,2,1,16,0.533333333,172,1.0,0,0.0,0.291666667,0,0,9.5,9,1.625,FALSE
6,1,0,6,6,15,6,1,6,2.0,6,0.0,0,0.0,0.583333333,0,0,0.0,1,1.0,FALSE
5,3,0,3,7,4,3,0,5,0.5,29,1.0,0,0.944444444,0.6,0,0,4.6,1,0.2,FALSE
9,1,0,121,151,32,0,121,5,0.75,1303,0.5,0,0.0,0.253968254,0,0,143.5555556,117,14.2222,FALSE
5,2,0,8,16,10,4,4,5,2.0,50,0.0,0,0.5555555560000001,0.5,0,0,9.0,1,0.8,FALSE
3,1,0,2,21,3,0,2,2,2.0,112,0.0,0,0.0,0.333333333,0,0,36.33333333,4,2.3333,FALSE
4,1,0,5,5,0,3,2,3,0.666666667,28,1.0,2,0.0,0.4375,0,0,5.25,1,0.75,FALSE
4,1,0,5,8,0,1,4,3,0.0,79,1.0,1,0.0,0.5625,0,0,18.5,5,2.0,FALSE
9,1,0,8,9,36,5,4,9,2.0,9,0.0,0,0.0,0.314814815,0,0,0.0,1,1.0,FALSE
12,2,0,6,23,46,2,4,10,0.818181818,122,0.5,0,0.55,0.4,1,6,9.0,2,0.8333,FALSE
12,1,16,46,56,60,25,35,12,1.0,415,0.25,0,0.0,0.283333333,0,0,33.25,4,1.1667,TRUE
20,2,0,14,65,94,3,14,15,0.649122807,327,1.0,2,0.321428571,0.154545455,1,1,15.2,3,1.15,FALSE
10,1,0,13,10,45,13,0,10,2.0,10,0.0,0,0.0,0.4,0,0,0.0,1,1.0,FALSE
4,1,0,6,15,4,4,2,2,0.333333333,55,1.0,0,0.0,0.333333333,0,0,12.5,2,0.75,FALSE
7,1,0,4,22,0,1,3,5,0.166666667,88,1.0,2,0.0,0.428571429,0,0,11.28571429,2,1.0,TRUE
39,1,0,3,78,0,2,1,38,0.9,261,0.0,1,0.0,0.30256410300000003,0,0,5.435897436,2,1.0256,FALSE
6,1,0,4,22,0,1,3,0,0.333333333,163,1.0,0,0.0,0.5,0,0,25.66666667,5,2.3333,FALSE
34,2,0,10,60,187,4,7,34,0.747474747,728,0.8888888890000001,2,0.184210526,0.198529412,2,3,20.14705882,8,1.4118,TRUE
6,1,0,0,27,15,0,0,5,2.0,264,0.0,0,0.0,0.291666667,0,0,43.0,1,0.8333,FALSE
24,1,0,8,51,86,3,5,16,0.673913043,447,0.833333333,3,0.0,0.183333333,0,0,17.375,5,1.7083,TRUE
0,1,0,0,0,0,0,0,0,2.0,4,0.0,0,0.0,0.0,0,0,0.0,0,0.0,FALSE
75,1,0,26,200,281,3,23,63,0.923141892,1168,0.4375,3,0.0,0.141891892,0,0,14.36,18,1.68,FALSE
1,1,0,7,1,0,6,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,FALSE
53,1,0,32,172,106,2,30,44,0.877622378,1743,0.727272727,4,0.0,0.146449704,0,0,31.67924528,32,2.0943,TRUE
8,2,0,8,19,0,2,6,6,0.8214285709999999,324,1.0,6,0.3,0.583333333,1,2,38.5,4,1.375,FALSE
4,1,0,5,4,6,4,1,4,2.0,4,0.0,0,0.0,0.583333333,0,0,0.0,1,1.0,FALSE
96,2,0,9,117,3214,5,4,93,0.981194559,1478,0.483146067,34,0.106796117,0.313684211,1,6,13.46875,3,0.9896,TRUE
7,1,0,15,56,9,4,11,5,0.7222222220000001,713,1.0,0,0.0,0.166666667,0,0,100.4285714,8,2.0,FALSE
108,1,0,60,341,4268,5,55,75,0.93564753,3365,0.7142857140000001,16,0.0,0.07897196299999999,0,0,29.83333333,34,2.0556,TRUE
1,1,0,7,1,0,6,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,FALSE
1,2,1,2,2,0,1,1,1,2.0,4,0.0,0,1.0,1.0,0,0,3.0,0,0.0,FALSE
5,2,0,5,12,10,1,4,5,2.0,32,0.0,0,0.5555555560000001,0.5,0,0,5.4,1,0.8,FALSE
13,2,0,13,23,0,10,3,11,0.642857143,271,1.0,1,0.45,0.256410256,1,2,19.30769231,2,0.9231,FALSE
20,1,0,4,39,0,3,1,19,0.978947368,140,0.133333333,1,0.0,0.258333333,0,0,5.25,1,0.95,TRUE
4,1,0,6,4,6,6,0,4,2.0,4,0.0,0,0.0,1.0,0,0,0.0,1,1.0,FALSE
1,1,0,7,1,0,6,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,FALSE
4,1,0,2,18,0,1,1,4,0.222222222,129,1.0,1,0.0,0.4375,1,1,30.5,6,2.5,FALSE
11,1,0,4,15,21,1,3,11,0.533333333,90,1.0,0,0.0,0.454545455,0,0,6.909090909,1,0.6364,FALSE
11,1,0,2,26,53,1,2,6,1.033333333,226,1.0,0,0.0,0.157142857,0,0,19.27272727,24,3.6364,TRUE
16,1,0,2,30,88,1,1,14,0.683333333,250,0.0,1,0.0,0.21875,0,0,14.375,4,1.125,FALSE
25,1,0,4,29,0,4,0,24,0.388888889,629,1.0,0,0.0,0.36,1,1,24.04,9,2.6,FALSE
