className,loc,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug,bugDensity,type
org.apache.html.dom.HTMLObjectElementImpl,200,35,4,0,3,43,595,0,3,35,2.0,0.0,0,0.734375,0.308571429,0,0,4.714285714,1,0.9714,0,0.0,NON
org.apache.wml.WMLCardElement,14,14,1,0,2,14,91,1,1,14,2.0,0.0,0,0.0,0.5,0,0,0.0,1,1.0,0,0.0,IL
org.apache.xerces.readers.DefaultReaderFactory,191,9,1,0,11,26,16,1,10,9,0.875,1.0,0,0.0,0.333333333,0,0,19.66666667,2,1.0,0,0.0,NON
org.w3c.dom.NamedNodeMap,8,8,1,0,0,8,28,0,0,8,2.0,0.0,0,0.0,0.46875,0,0,0.0,1,1.0,1,0.25,IL
org.apache.xerces.validators.common.XMLElementDecl,90,6,1,0,8,12,3,6,2,6,0.763636364,0.0,2,0.0,0.5,1,1,12.16666667,1,0.6667,0,0.0,NON
org.apache.html.dom.HTMLOListElementImpl,42,7,4,0,2,14,21,0,2,7,2.0,0.0,0,0.94,0.342857143,0,0,5.0,1,0.8571,0,0.0,NON
org.apache.xerces.validators.schema.XUtil,486,14,1,0,5,50,91,3,2,13,2.0,0.0,0,0.0,0.41071428600000004,0,0,33.71428571,5,3.7143,0,0.0,NON
org.apache.xerces.readers.UTF8Recognizer,239,2,2,0,9,18,0,2,9,1,0.0,1.0,0,0.75,0.571428571,2,2,118.0,1,0.5,0,0.0,NON
org.apache.html.dom.HTMLIsIndexElementImpl,17,3,4,0,2,6,3,0,2,3,2.0,0.0,0,0.979166667,0.666666667,0,0,4.666666667,1,0.6667,0,0.0,NON
org.apache.xerces.framework.XMLParser,1192,49,1,2,22,121,622,2,20,22,0.915719697,1.0,11,0.0,0.11388888900000001,0,0,22.87755102,3,1.0408,0,0.0,NON
org.w3c.dom.html.HTMLBodyElement,12,12,1,0,0,12,66,0,0,12,2.0,0.0,0,0.0,0.75,0,0,0.0,1,1.0,0,0.0,NON
org.apache.html.dom.HTMLFormControl,0,0,1,0,8,0,0,8,0,0,2.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,IL
org.apache.xerces.validators.datatype.BooleanDatatypeValidator,240,10,2,0,7,29,35,1,6,6,0.708333333,1.0,3,0.363636364,0.26388888899999996,0,0,22.2,1,0.7,0,0.0,NON
org.apache.xerces.readers.StreamingCharReader,2890,34,2,0,14,74,0,1,14,21,0.672727273,1.0,2,0.179487179,0.160839161,1,3,83.55882353,2,1.0588,0,0.0,NON
org.apache.xml.serialize.OutputFormat,498,42,1,0,11,52,695,11,0,42,0.8991869920000001,1.0,0,0.0,0.257936508,0,0,10.5,12,1.6429,1,0.002008032128514056,NON
org.w3c.dom.html.HTMLFrameSetElement,4,4,1,0,0,4,6,0,0,4,2.0,0.0,0,0.0,0.75,0,0,0.0,1,1.0,0,0.0,NON
org.w3c.dom.html.HTMLLIElement,4,4,1,0,0,4,6,0,0,4,2.0,0.0,0,0.0,0.5,0,0,0.0,1,1.0,0,0.0,NON
org.apache.xerces.validators.dtd.DTDGrammar,1231,41,2,0,13,77,280,2,11,35,0.903947368,1.0,10,0.487179487,0.306620209,1,7,28.56097561,3,1.1951,0,0.0,NON
javax.xml.parsers.SAXParser,128,8,1,1,0,27,28,0,0,7,2.0,0.0,0,0.0,0.333333333,0,0,15.0,1,0.875,1,0.0078125,NON
org.apache.wml.WMLOneventElement,2,2,1,0,2,2,1,1,1,2,2.0,0.0,0,0.0,0.75,0,0,0.0,1,1.0,0,0.0,IL
org.apache.xerces.validators.datatype.IDREFDatatypeValidator,327,11,2,0,8,42,33,1,7,7,0.82,0.7,2,0.307692308,0.232323232,0,0,27.81818182,6,1.2727,0,0.0,NON
org.w3c.dom.Element,16,16,1,0,0,16,120,0,0,16,2.0,0.0,0,0.0,0.645833333,0,0,0.0,1,1.0,1,0.125,IL
org.apache.xerces.dom.NotationImpl,80,7,2,1,5,12,15,3,3,7,0.916666667,0.75,0,0.88,0.523809524,1,4,9.857142857000001,3,1.8571,1,0.0125,NON
org.apache.xml.serialize.TextSerializer,263,17,2,0,5,36,128,1,4,11,2.0,0.0,0,0.7777777779999999,0.192513369,1,10,14.47058824,6,1.8824,0,0.0,NON
org.apache.xerces.validators.common.ContentLeafNameTypeVector,73,4,1,0,6,6,0,5,1,4,0.0,0.0,1,0.0,0.55,0,0,16.5,2,0.5,0,0.0,NON
org.apache.wml.dom.WMLBrElementImpl,39,7,4,0,3,10,21,0,3,7,2.0,0.0,0,0.931818182,0.571428571,1,6,4.571428571,1,0.8571,0,0.0,IL
org.w3c.dom.html.HTMLStyleElement,6,6,1,0,0,6,15,0,0,6,2.0,0.0,0,0.0,0.5,0,0,0.0,1,1.0,0,0.0,NON
org.w3c.dom.html.HTMLBRElement,2,2,1,0,0,2,1,0,0,2,2.0,0.0,0,0.0,0.75,0,0,0.0,1,1.0,0,0.0,NON
org.apache.html.dom.HTMLLabelElementImpl,52,5,4,0,3,10,10,0,3,5,2.0,0.0,0,0.959183673,0.6,0,0,9.4,3,1.6,0,0.0,NON
org.apache.html.dom.HTMLUListElementImpl,28,5,4,0,2,10,10,0,2,5,2.0,0.0,0,0.959183673,0.45,0,0,4.6,1,0.8,0,0.0,NON
org.apache.xerces.validators.datatype.TimeDurationDatatypeValidator,1937,18,2,0,7,58,141,1,6,10,0.847750865,1.0,2,0.2,0.189814815,0,0,105.66666670000001,4,1.1667,0,0.0,NON
org.apache.xerces.utils.URI,1992,42,1,0,3,66,375,2,1,29,0.780487805,1.0,0,0.0,0.22648083600000002,0,0,46.14285714,33,3.1429,0,0.0,NON
org.apache.html.dom.HTMLOptGroupElementImpl,30,5,4,0,2,11,10,0,2,5,2.0,0.0,0,0.959183673,0.45,0,0,5.0,1,0.8,0,0.0,NON
org.w3c.dom.html.HTMLTitleElement,2,2,1,0,0,2,1,0,0,2,2.0,0.0,0,0.0,0.75,0,0,0.0,1,1.0,0,0.0,NON
org.apache.xerces.validators.datatype.DatatypeValidatorFactoryImpl,849,11,1,0,23,48,33,5,18,5,0.76,0.6,1,0.0,0.2125,0,0,75.72727273,4,1.0909,0,0.0,NON
org.w3c.dom.events.EventListener,1,1,1,0,0,1,0,0,0,1,2.0,0.0,0,0.0,1.0,0,0,0.0,1,1.0,1,2.0,IL
org.apache.wml.WMLBigElement,2,2,1,0,2,2,1,1,1,2,2.0,0.0,0,0.0,0.75,0,0,0.0,1,1.0,0,0.0,IL
org.apache.xerces.utils.StringHasher,107,5,1,0,6,7,10,6,0,5,2.0,0.0,0,0.0,0.35,0,0,20.4,3,1.8,0,0.0,NON
org.apache.html.dom.HTMLHtmlElementImpl,19,3,4,0,2,7,3,1,2,3,2.0,0.0,0,0.979166667,0.666666667,0,0,5.333333333,1,0.6667,0,0.0,NON
org.xml.sax.ext.LexicalHandler,7,7,1,0,0,7,21,0,0,7,2.0,0.0,0,0.0,0.428571429,0,0,0.0,1,1.0,1,0.14285714285714285,IL
org.apache.xml.serialize.LineSeparator,8,1,1,0,0,2,0,0,0,1,2.0,0.0,0,0.0,1.0,0,0,3.0,0,0.0,0,0.0,IL
org.xml.sax.helpers.AttributesImpl,723,26,1,0,0,40,0,0,0,24,0.08,0.0,0,0.0,0.528846154,0,0,26.73076923,5,2.6538,0,0.0,IL
org.xml.sax.helpers.ParserAdapter,887,30,1,0,0,88,177,0,0,24,0.882032668,0.736842105,9,0.0,0.12666666699999998,0,0,27.93333333,4,1.2333,0,0.0,NON
org.w3c.dom.html.HTMLParagraphElement,2,2,1,0,0,2,1,0,0,2,2.0,0.0,0,0.0,0.75,0,0,0.0,1,1.0,0,0.0,NON
org.apache.wml.WMLMetaElement,10,10,1,0,2,10,45,1,1,10,2.0,0.0,0,0.0,0.5,0,0,0.0,1,1.0,0,0.0,IL
org.apache.xerces.dom.AttrImpl,288,16,4,2,13,46,102,10,6,14,0.933333333,0.5,0,0.8494623659999999,0.34375,3,18,16.875,11,2.375,1,0.003472222222222222,NON
org.w3c.dom.CharacterData,8,8,1,0,0,8,28,0,0,8,2.0,0.0,0,0.0,0.666666667,0,0,0.0,1,1.0,1,0.25,IL
org.apache.wml.WMLStrongElement,2,2,1,0,2,2,1,1,1,2,2.0,0.0,0,0.0,0.75,0,0,0.0,1,1.0,0,0.0,IL
org.apache.xerces.validators.common.Grammar,2197,38,1,2,28,77,569,9,19,13,0.900900901,1.0,9,0.0,0.15263157900000002,0,0,55.94736842,6,1.9737,0,0.0,NON
org.w3c.dom.events.Event,13,10,1,0,0,10,45,0,0,10,1.111111111,0.0,0,0.0,0.4,0,0,0.0,1,1.0,1,0.15384615384615385,NON
org.apache.xerces.validators.datatype.XMLException,20,5,3,2,2,7,10,2,0,5,2.0,0.0,0,0.944444444,0.6,0,0,3.0,1,0.2,0,0.0,NON
org.apache.xml.serialize.SerializerFactoryImpl,136,6,2,0,7,20,9,1,7,3,0.0,1.0,0,0.545454545,0.433333333,1,2,21.5,5,1.5,0,0.0,IL
org.apache.wml.dom.WMLOptionElementImpl,72,13,4,0,3,16,78,0,3,13,2.0,0.0,0,0.872340426,0.538461538,1,7,4.538461538,1,0.9231,0,0.0,IL
org.apache.xerces.validators.datatype.InvalidDatatypeValueException,64,8,4,0,19,12,0,18,1,8,0.28571428600000004,1.0,0,0.818181818,0.4375,0,0,6.75,1,0.5,0,0.0,NON
org.apache.wml.WMLPrevElement,0,0,1,0,2,0,0,1,1,0,2.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,IL
org.w3c.dom.html.HTMLUListElement,4,4,1,0,0,4,6,0,0,4,2.0,0.0,0,0.0,0.5,0,0,0.0,1,1.0,0,0.0,NON
org.apache.html.dom.HTMLDListElementImpl,17,3,4,0,2,6,3,0,2,3,2.0,0.0,0,0.979166667,0.5,0,0,4.666666667,1,0.6667,0,0.0,NON
org.apache.xerces.dom.DocumentTypeImpl,200,15,4,1,9,26,57,6,4,14,0.8214285709999999,0.875,3,0.848837209,0.38333333299999994,2,6,11.8,2,1.5333,0,0.0,NON
org.w3c.dom.html.HTMLCollection,3,3,1,0,0,3,3,0,0,3,2.0,0.0,0,0.0,0.5555555560000001,0,0,0.0,1,1.0,0,0.0,NON
org.apache.xerces.dom.TreeWalkerImpl,547,20,1,0,1,29,58,1,0,14,0.547368421,0.2,3,0.0,0.31,0,0,26.1,10,3.95,0,0.0,IL
org.apache.wml.dom.WMLOptgroupElementImpl,50,9,4,0,3,12,36,0,3,9,2.0,0.0,0,0.911111111,0.5555555560000001,1,6,4.555555556,1,0.8889,0,0.0,IL
org.apache.xml.serialize.Method,9,1,1,0,0,2,0,0,0,1,2.0,0.0,0,0.0,1.0,0,0,3.0,0,0.0,0,0.0,IL
org.apache.wml.WMLSetvarElement,4,4,1,0,2,4,6,1,1,4,2.0,0.0,0,0.0,0.75,0,0,0.0,1,1.0,0,0.0,IL
org.apache.html.dom.HTMLFieldSetElementImpl,6,1,4,0,3,2,0,0,3,1,2.0,0.0,0,1.0,1.0,0,0,5.0,0,0.0,0,0.0,NON
org.apache.xerces.dom.EntityReferenceImpl,115,10,4,1,6,29,43,3,4,9,0.944444444,0.5,0,0.890243902,0.325,1,6,10.3,6,1.5,0,0.0,NON
org.apache.xerces.dom.ElementImpl,598,29,4,4,17,70,124,12,9,24,0.75,0.666666667,1,0.73,0.33793103399999996,2,11,19.51724138,6,2.4828,1,0.0016722408026755853,NON
org.w3c.dom.html.HTMLAnchorElement,26,26,1,0,0,26,325,0,0,26,2.0,0.0,0,0.0,0.487179487,0,0,0.0,1,1.0,0,0.0,NON
org.apache.xerces.dom.TextImpl,90,6,3,2,9,21,15,6,4,6,1.2,0.0,0,0.9152542370000001,0.333333333,1,4,13.83333333,2,1.1667,1,0.011111111111111112,NON
org.apache.xerces.validators.schema.SchemaGrammar,962,45,2,0,13,63,862,3,10,16,0.896780303,0.875,6,0.463414634,0.119298246,1,5,19.84444444,5,1.5556,0,0.0,NON
org.xml.sax.helpers.XMLFilterImpl,436,36,1,0,0,69,246,0,0,35,0.804761905,1.0,6,0.0,0.125925926,0,0,10.94444444,2,1.1389,0,0.0,NON
org.apache.xerces.utils.XMLMessages,1114,5,1,0,2,14,0,1,1,4,1.24380805,0.009287926,0,0.0,0.5,0,0,157.2,9,2.2,0,0.0,IL
org.apache.wml.dom.WMLTimerElementImpl,50,9,4,0,3,12,36,0,3,9,2.0,0.0,0,0.911111111,0.5555555560000001,1,5,4.555555556,1,0.8889,0,0.0,IL
org.xml.sax.helpers.DefaultHandler,40,18,1,0,0,19,153,0,0,18,2.0,0.0,0,0.0,0.28571428600000004,0,0,1.222222222,1,0.9444,0,0.0,NON
org.w3c.dom.html.HTMLTableSectionElement,11,11,1,0,0,11,55,0,0,11,2.0,0.0,0,0.0,0.515151515,0,0,0.0,1,1.0,0,0.0,NON
org.apache.xerces.dom.ChildNode,69,8,2,2,9,14,18,9,2,5,0.904761905,0.666666667,2,0.88,0.41666666700000005,1,3,7.25,2,1.25,0,0.0,NON
org.apache.html.dom.HTMLAnchorElementImpl,171,27,4,0,2,35,351,0,2,27,2.0,0.0,0,0.783333333,0.37962963,0,0,5.333333333,3,1.1111,0,0.0,NON
org.apache.wml.dom.WMLDocumentImpl,580,4,3,0,39,23,4,37,3,2,0.982905983,0.051282050999999995,0,0.977777778,0.5555555560000001,1,1,134.25,1,0.5,0,0.0,IL
org.apache.xerces.utils.UTF8DataChunk,1528,22,1,0,6,39,89,1,5,12,0.703296703,0.692307692,4,0.0,0.23214285699999998,0,0,67.86363636,24,4.6818,0,0.0,NON
org.apache.wml.WMLDocument,0,0,1,0,1,0,0,1,0,0,2.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,IL
org.apache.html.dom.HTMLDirectoryElementImpl,17,3,4,0,2,6,3,0,2,3,2.0,0.0,0,0.979166667,0.5,0,0,4.666666667,1,0.6667,0,0.0,NON
org.w3c.dom.range.RangeException,11,1,4,1,0,2,0,0,0,1,2.0,0.0,0,1.0,1.0,0,0,7.0,0,0.0,0,0.0,NON
org.w3c.dom.html.HTMLHeadElement,2,2,1,0,0,2,1,0,0,2,2.0,0.0,0,0.0,0.75,0,0,0.0,1,1.0,0,0.0,NON
org.w3c.dom.DOMException,24,1,4,1,0,2,0,0,0,1,2.0,0.0,0,1.0,1.0,0,0,7.0,0,0.0,1,0.08333333333333333,IL
org.apache.html.dom.HTMLDocumentImpl,1017,34,3,0,59,83,541,55,9,29,0.96969697,0.8,5,0.7333333329999999,0.284848485,2,4,28.61764706,7,2.2059,0,0.0,IL
org.apache.xerces.framework.XMLErrorReporter,5,2,1,0,22,2,1,22,0,2,2.0,0.0,0,0.0,0.6,0,0,0.0,1,1.0,0,0.0,NON
org.apache.xerces.validators.schema.SchemaSymbols,121,1,1,0,0,2,0,0,0,1,2.0,0.0,0,0.0,1.0,0,0,3.0,0,0.0,0,0.0,NON
org.w3c.dom.html.HTMLFontElement,6,6,1,0,0,6,15,0,0,6,2.0,0.0,0,0.0,0.75,0,0,0.0,1,1.0,0,0.0,NON
org.apache.wml.WMLTemplateElement,6,6,1,0,2,6,15,1,1,6,2.0,0.0,0,0.0,0.75,0,0,0.0,1,1.0,0,0.0,IL
org.w3c.dom.events.EventTarget,3,3,1,0,0,3,3,0,0,3,2.0,0.0,0,0.0,0.666666667,0,0,0.0,1,1.0,1,0.6666666666666666,IL
org.w3c.dom.html.HTMLTableRowElement,15,15,1,0,0,15,105,0,0,15,2.0,0.0,0,0.0,0.488888889,0,0,0.0,1,1.0,0,0.0,NON
org.apache.xerces.validators.schema.SchemaMessageProvider,236,5,1,0,3,14,0,2,1,4,1.185483871,0.064516129,0,0.0,0.5,0,0,40.0,9,2.2,0,0.0,NON
org.w3c.dom.NodeList,2,2,1,0,0,2,1,0,0,2,2.0,0.0,0,0.0,0.75,0,0,0.0,1,1.0,1,1.0,IL
org.apache.xml.serialize.Printer,357,18,1,1,6,28,47,5,1,18,0.720588235,1.0,1,0.0,0.17901234600000002,0,0,18.38888889,3,1.7778,0,0.0,NON
org.apache.xerces.msg.DatatypeMessages,247,3,3,0,0,4,1,0,0,2,0.5,0.0,0,0.974358974,1.0,0,0,81.0,1,0.3333,0,0.0,NON
org.apache.xerces.readers.MIME2Java,395,4,1,0,3,9,2,3,0,2,0.666666667,1.0,0,0.0,0.5,0,0,97.25,1,0.5,0,0.0,NON
org.xml.sax.helpers.LocatorImpl,64,10,1,0,0,15,37,0,0,10,0.7777777779999999,1.0,0,0.0,0.375,0,0,5.0,1,0.8,0,0.0,IL
org.w3c.dom.html.HTMLMetaElement,8,8,1,0,0,8,28,0,0,8,2.0,0.0,0,0.0,0.75,0,0,0.0,1,1.0,0,0.0,NON
org.apache.wml.WMLIElement,2,2,1,0,2,2,1,1,1,2,2.0,0.0,0,0.0,0.75,0,0,0.0,1,1.0,0,0.0,IL
org.apache.html.dom.HTMLParagraphElementImpl,17,3,4,0,2,6,3,0,2,3,2.0,0.0,0,0.979166667,0.666666667,0,0,4.666666667,1,0.6667,0,0.0,NON
org.w3c.dom.range.DocumentRange,1,1,1,0,0,1,0,0,0,1,2.0,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0,0.0,NON
javax.xml.parsers.ParserConfigurationException,9,2,3,0,0,4,1,0,0,2,2.0,0.0,0,1.0,0.75,0,0,3.5,0,0.0,1,0.1111111111111111,IL
org.xml.sax.XMLReader,14,14,1,0,0,14,91,0,0,14,2.0,0.0,0,0.0,0.206349206,0,0,0.0,1,1.0,0,0.0,NON
org.xml.sax.helpers.XMLReaderFactory,102,3,1,0,0,14,3,0,0,2,2.0,0.0,0,0.0,0.333333333,0,0,33.0,1,0.6667,0,0.0,IL
org.apache.xerces.utils.QName,191,11,1,0,38,16,25,38,0,11,0.05,0.0,0,0.0,0.409090909,1,1,16.0,7,1.1818,0,0.0,NON
org.apache.xerces.utils.regex.RegularExpression,6637,53,1,0,29,143,1146,10,20,20,0.9061771559999999,0.090909091,6,0.0,0.192307692,1,1,123.6037736,147,13.3585,0,0.0,NON
org.apache.xerces.domx.DOMException,8,1,5,1,1,2,0,1,0,1,2.0,0.0,0,1.0,1.0,0,0,5.0,0,0.0,1,0.125,NON
org.apache.xerces.validators.datatype.DatatypeValidatorFactory,1,1,1,0,3,1,0,1,2,1,2.0,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0,0.0,NON
org.apache.wml.WMLSmallElement,2,2,1,0,2,2,1,1,1,2,2.0,0.0,0,0.0,0.75,0,0,0.0,1,1.0,0,0.0,IL
org.apache.xerces.dom.AttrNSImpl,192,6,3,1,4,18,3,2,3,4,0.8,0.666666667,0,0.9375,0.611111111,3,3,30.5,3,1.3333,1,0.005208333333333333,NON
org.apache.html.dom.HTMLAreaElementImpl,123,17,4,0,2,27,136,0,2,17,2.0,0.0,0,0.854545455,0.317647059,0,0,6.235294118,3,1.1765,0,0.0,NON
org.apache.xerces.validators.common.CMAny,120,9,2,0,6,19,0,2,4,1,0.625,1.0,0,0.5,0.38888888899999996,1,2,12.0,2,1.0,0,0.0,NON
org.apache.wml.dom.WMLRefreshElementImpl,28,5,4,0,3,8,10,0,3,5,2.0,0.0,0,0.953488372,0.6,1,4,4.6,1,0.8,0,0.0,IL
org.apache.xerces.framework.XMLAttrList,1200,29,1,0,8,37,0,6,2,28,0.8139097740000001,1.0,2,0.0,0.333333333,0,0,39.72413793,6,2.8621,0,0.0,NON
org.apache.xerces.dom.DeferredElementNSImpl,103,4,4,0,6,20,0,1,6,1,0.666666667,0.5,0,0.962025316,0.5,3,11,24.25,4,1.5,0,0.0,IL
org.apache.xerces.jaxp.SAXParserFactoryImpl,13,2,2,0,1,6,1,0,1,2,2.0,0.0,0,0.9285714290000001,1.0,0,0,5.5,1,0.5,1,0.07692307692307693,NON
org.apache.html.dom.HTMLDivElementImpl,19,3,4,0,2,7,3,0,2,3,2.0,0.0,0,0.979166667,0.666666667,0,0,5.333333333,1,0.6667,0,0.0,NON
org.apache.xerces.dom.AttributeMap,592,10,2,0,8,43,25,1,8,5,2.0,0.0,0,0.571428571,0.32857142899999997,1,7,58.2,13,2.8,1,0.0033783783783783786,NON
javax.xml.parsers.DocumentBuilder,53,10,1,1,0,15,45,0,0,9,2.0,0.0,0,0.0,0.228571429,0,0,4.3,1,0.9,1,0.018867924528301886,NON
org.w3c.dom.html.HTMLFrameElement,16,16,1,0,0,16,120,0,0,16,2.0,0.0,0,0.0,0.5,0,0,0.0,1,1.0,0,0.0,NON
org.apache.xerces.utils.regex.Match,332,12,1,0,3,22,0,3,1,6,0.53030303,0.0,0,0.0,0.35,0,0,26.16666667,8,2.75,0,0.0,NON
org.w3c.dom.html.HTMLQuoteElement,2,2,1,0,0,2,1,0,0,2,2.0,0.0,0,0.0,0.75,0,0,0.0,1,1.0,0,0.0,NON
org.w3c.dom.html.HTMLLinkElement,18,18,1,0,0,18,153,0,0,18,2.0,0.0,0,0.0,0.5,0,0,0.0,1,1.0,0,0.0,NON
org.apache.xerces.dom.events.MutationEventImpl,62,6,2,0,7,8,0,6,1,6,0.981818182,0.0,1,0.642857143,0.375,0,0,7.5,1,0.8333,1,0.03225806451612903,NON
org.apache.wml.dom.WMLBElementImpl,39,7,4,0,3,10,21,0,3,7,2.0,0.0,0,0.931818182,0.571428571,1,6,4.571428571,1,0.8571,0,0.0,IL
org.apache.xerces.validators.common.CMStateSet,471,10,1,0,7,16,0,6,1,1,0.066666667,0.0,0,0.0,0.566666667,0,0,45.6,7,2.8,0,0.0,NON
org.apache.xerces.validators.datatype.RecurringDurationDatatypeValidator,1405,18,2,0,7,54,141,1,6,9,0.891176471,0.15,2,0.2,0.189814815,0,0,75.94444444,4,1.1667,0,0.0,NON
org.xml.sax.SAXNotSupportedException,5,1,4,0,0,2,0,0,0,1,2.0,0.0,0,1.0,1.0,0,0,4.0,0,0.0,0,0.0,IL
org.w3c.dom.html.HTMLObjectElement,35,35,1,0,0,35,595,0,0,35,2.0,0.0,0,0.0,0.37142857100000004,0,0,0.0,1,1.0,0,0.0,NON
org.w3c.dom.html.HTMLDocument,19,19,1,0,0,19,171,0,0,19,2.0,0.0,0,0.0,0.43859649100000003,0,0,0.0,1,1.0,0,0.0,NON
org.apache.wml.dom.WMLDoElementImpl,83,15,4,0,3,18,105,0,3,15,2.0,0.0,0,0.854166667,0.533333333,1,6,4.533333333,1,0.9333,0,0.0,IL
org.apache.xerces.readers.UTF8Reader,7413,41,2,0,13,75,0,1,12,22,0.608823529,0.882352941,3,0.152173913,0.170833333,1,4,179.3902439,2,1.0488,1,0.00013489815189531904,NON
org.apache.html.dom.HTMLAppletElementImpl,127,23,4,0,2,26,253,0,2,23,2.0,0.0,0,0.810344828,0.52173913,0,0,4.52173913,1,0.9565,0,0.0,NON
org.apache.xerces.validators.datatype.QNameDatatypeValidator,967,10,2,0,6,39,37,1,5,7,0.7098765429999999,1.0,2,0.333333333,0.28571428600000004,0,0,93.9,1,0.8,0,0.0,NON
org.apache.xerces.dom.events.EventImpl,87,11,1,1,3,13,35,3,0,11,0.9,0.1,2,0.0,0.393939394,0,0,6.0,1,0.9091,1,0.011494252873563218,NON
org.w3c.dom.html.HTMLModElement,4,4,1,0,0,4,6,0,0,4,2.0,0.0,0,0.0,0.75,0,0,0.0,1,1.0,0,0.0,NON
org.apache.xerces.dom.DOMImplementationImpl,127,6,1,2,5,18,13,3,3,5,0.8,0.0,1,0.0,0.533333333,0,0,20.0,14,3.3333,1,0.007874015748031496,NON
