className,numbers,relName,version,filePath,bug,type
org.apache.lucene.analysis.KeywordTokenizer,3,src\java\org\apache\lucene\analysis\KeywordTokenizer.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\analysis\KeywordTokenizer.java,1.0,NON
org.apache.lucene.analysis.KeywordTokenizer,3,src\java\org\apache\lucene\analysis\KeywordTokenizer.java,v2.4,RELATIVE:\lucene\lucene-2.4\src\java\org\apache\lucene\analysis\KeywordTokenizer.java,1.0,NON
org.apache.lucene.analysis.LengthFilter,3,src\java\org\apache\lucene\analysis\LengthFilter.java,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\LengthFilter.java,0.0,NON
org.apache.lucene.analysis.LengthFilter,3,src\java\org\apache\lucene\analysis\LengthFilter.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\analysis\LengthFilter.java,1.0,NON
org.apache.lucene.analysis.LengthFilter,3,src\java\org\apache\lucene\analysis\LengthFilter.java,v2.4,RELATIVE:\lucene\lucene-2.4\src\java\org\apache\lucene\analysis\LengthFilter.java,0.0,NON
org.apache.lucene.analysis.LetterTokenizer,3,src\java\org\apache\lucene\analysis\LetterTokenizer.java,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\LetterTokenizer.java,0.0,NON
org.apache.lucene.analysis.LetterTokenizer,3,src\java\org\apache\lucene\analysis\LetterTokenizer.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\analysis\LetterTokenizer.java,0.0,NON
org.apache.lucene.analysis.LetterTokenizer,3,src\java\org\apache\lucene\analysis\LetterTokenizer.java,v2.4,RELATIVE:\lucene\lucene-2.4\src\java\org\apache\lucene\analysis\LetterTokenizer.java,0.0,NON
org.apache.lucene.analysis.LowerCaseFilter,3,src\java\org\apache\lucene\analysis\LowerCaseFilter.java,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\LowerCaseFilter.java,0.0,NON
org.apache.lucene.analysis.LowerCaseFilter,3,src\java\org\apache\lucene\analysis\LowerCaseFilter.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\analysis\LowerCaseFilter.java,1.0,NON
org.apache.lucene.analysis.LowerCaseFilter,3,src\java\org\apache\lucene\analysis\LowerCaseFilter.java,v2.4,RELATIVE:\lucene\lucene-2.4\src\java\org\apache\lucene\analysis\LowerCaseFilter.java,0.0,NON
org.apache.lucene.analysis.LowerCaseTokenizer,3,src\java\org\apache\lucene\analysis\LowerCaseTokenizer.java,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\LowerCaseTokenizer.java,0.0,NON
org.apache.lucene.analysis.LowerCaseTokenizer,3,src\java\org\apache\lucene\analysis\LowerCaseTokenizer.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\analysis\LowerCaseTokenizer.java,0.0,NON
org.apache.lucene.analysis.LowerCaseTokenizer,3,src\java\org\apache\lucene\analysis\LowerCaseTokenizer.java,v2.4,RELATIVE:\lucene\lucene-2.4\src\java\org\apache\lucene\analysis\LowerCaseTokenizer.java,1.0,NON
org.apache.lucene.analysis.PerFieldAnalyzerWrapper,3,src\java\org\apache\lucene\analysis\PerFieldAnalyzerWrapper.java,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\PerFieldAnalyzerWrapper.java,1.0,NON
org.apache.lucene.analysis.PerFieldAnalyzerWrapper,3,src\java\org\apache\lucene\analysis\PerFieldAnalyzerWrapper.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\analysis\PerFieldAnalyzerWrapper.java,0.0,NON
org.apache.lucene.analysis.PerFieldAnalyzerWrapper,3,src\java\org\apache\lucene\analysis\PerFieldAnalyzerWrapper.java,v2.4,RELATIVE:\lucene\lucene-2.4\src\java\org\apache\lucene\analysis\PerFieldAnalyzerWrapper.java,1.0,NON
org.apache.lucene.analysis.PorterStemFilter,3,src\java\org\apache\lucene\analysis\PorterStemFilter.java,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\PorterStemFilter.java,0.0,NON
org.apache.lucene.analysis.PorterStemFilter,3,src\java\org\apache\lucene\analysis\PorterStemFilter.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\analysis\PorterStemFilter.java,1.0,NON
org.apache.lucene.analysis.PorterStemFilter,3,src\java\org\apache\lucene\analysis\PorterStemFilter.java,v2.4,RELATIVE:\lucene\lucene-2.4\src\java\org\apache\lucene\analysis\PorterStemFilter.java,0.0,NON
org.apache.lucene.analysis.PorterStemmer,3,src\java\org\apache\lucene\analysis\PorterStemmer.java,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\PorterStemmer.java,0.0,NON
org.apache.lucene.analysis.PorterStemmer,3,src\java\org\apache\lucene\analysis\PorterStemmer.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\analysis\PorterStemmer.java,1.0,NON
org.apache.lucene.analysis.PorterStemmer,3,src\java\org\apache\lucene\analysis\PorterStemmer.java,v2.4,RELATIVE:\lucene\lucene-2.4\src\java\org\apache\lucene\analysis\PorterStemmer.java,0.0,NON
org.apache.lucene.analysis.SimpleAnalyzer,3,src\java\org\apache\lucene\analysis\SimpleAnalyzer.java,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\SimpleAnalyzer.java,0.0,NON
org.apache.lucene.analysis.SimpleAnalyzer,3,src\java\org\apache\lucene\analysis\SimpleAnalyzer.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\analysis\SimpleAnalyzer.java,0.0,NON
org.apache.lucene.analysis.SimpleAnalyzer,3,src\java\org\apache\lucene\analysis\SimpleAnalyzer.java,v2.4,RELATIVE:\lucene\lucene-2.4\src\java\org\apache\lucene\analysis\SimpleAnalyzer.java,1.0,NON
org.apache.lucene.analysis.StopAnalyzer,3,src\java\org\apache\lucene\analysis\StopAnalyzer.java,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\StopAnalyzer.java,0.0,NON
org.apache.lucene.analysis.StopAnalyzer,3,src\java\org\apache\lucene\analysis\StopAnalyzer.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\analysis\StopAnalyzer.java,0.0,NON
org.apache.lucene.analysis.StopAnalyzer,3,src\java\org\apache\lucene\analysis\StopAnalyzer.java,v2.4,RELATIVE:\lucene\lucene-2.4\src\java\org\apache\lucene\analysis\StopAnalyzer.java,1.0,NON
org.apache.lucene.analysis.StopFilter,3,src\java\org\apache\lucene\analysis\StopFilter.java,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\StopFilter.java,0.0,NON
org.apache.lucene.analysis.StopFilter,3,src\java\org\apache\lucene\analysis\StopFilter.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\analysis\StopFilter.java,1.0,NON
org.apache.lucene.analysis.StopFilter,3,src\java\org\apache\lucene\analysis\StopFilter.java,v2.4,RELATIVE:\lucene\lucene-2.4\src\java\org\apache\lucene\analysis\StopFilter.java,1.0,NON
org.apache.lucene.analysis.Token,3,src\java\org\apache\lucene\analysis\Token.java,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\Token.java,1.0,NON
org.apache.lucene.analysis.Token,3,src\java\org\apache\lucene\analysis\Token.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\analysis\Token.java,1.0,NON
org.apache.lucene.analysis.Token,3,src\java\org\apache\lucene\analysis\Token.java,v2.4,RELATIVE:\lucene\lucene-2.4\src\java\org\apache\lucene\analysis\Token.java,1.0,NON
org.apache.lucene.analysis.TokenFilter,3,src\java\org\apache\lucene\analysis\TokenFilter.java,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\TokenFilter.java,0.0,NON
org.apache.lucene.analysis.TokenFilter,3,src\java\org\apache\lucene\analysis\TokenFilter.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\analysis\TokenFilter.java,1.0,NON
org.apache.lucene.analysis.TokenFilter,3,src\java\org\apache\lucene\analysis\TokenFilter.java,v2.4,RELATIVE:\lucene\lucene-2.4\src\java\org\apache\lucene\analysis\TokenFilter.java,1.0,NON
org.apache.lucene.analysis.TokenStream,3,src\java\org\apache\lucene\analysis\TokenStream.java,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\TokenStream.java,1.0,NON
org.apache.lucene.analysis.TokenStream,3,src\java\org\apache\lucene\analysis\TokenStream.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\analysis\TokenStream.java,1.0,NON
org.apache.lucene.analysis.TokenStream,3,src\java\org\apache\lucene\analysis\TokenStream.java,v2.4,RELATIVE:\lucene\lucene-2.4\src\java\org\apache\lucene\analysis\TokenStream.java,1.0,NON
org.apache.lucene.analysis.Tokenizer,3,src\java\org\apache\lucene\analysis\Tokenizer.java,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\Tokenizer.java,0.0,NON
org.apache.lucene.analysis.Tokenizer,3,src\java\org\apache\lucene\analysis\Tokenizer.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\analysis\Tokenizer.java,1.0,NON
org.apache.lucene.analysis.Tokenizer,3,src\java\org\apache\lucene\analysis\Tokenizer.java,v2.4,RELATIVE:\lucene\lucene-2.4\src\java\org\apache\lucene\analysis\Tokenizer.java,1.0,NON
org.apache.lucene.analysis.WhitespaceAnalyzer,3,src\java\org\apache\lucene\analysis\WhitespaceAnalyzer.java,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\WhitespaceAnalyzer.java,0.0,NON
org.apache.lucene.analysis.WhitespaceAnalyzer,3,src\java\org\apache\lucene\analysis\WhitespaceAnalyzer.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\analysis\WhitespaceAnalyzer.java,0.0,NON
org.apache.lucene.analysis.WhitespaceAnalyzer,3,src\java\org\apache\lucene\analysis\WhitespaceAnalyzer.java,v2.4,RELATIVE:\lucene\lucene-2.4\src\java\org\apache\lucene\analysis\WhitespaceAnalyzer.java,1.0,NON
org.apache.lucene.analysis.WhitespaceTokenizer,3,src\java\org\apache\lucene\analysis\WhitespaceTokenizer.java,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\WhitespaceTokenizer.java,0.0,NON
org.apache.lucene.analysis.WhitespaceTokenizer,3,src\java\org\apache\lucene\analysis\WhitespaceTokenizer.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\analysis\WhitespaceTokenizer.java,0.0,NON
org.apache.lucene.analysis.WhitespaceTokenizer,3,src\java\org\apache\lucene\analysis\WhitespaceTokenizer.java,v2.4,RELATIVE:\lucene\lucene-2.4\src\java\org\apache\lucene\analysis\WhitespaceTokenizer.java,1.0,NON
org.apache.lucene.analysis.WordlistLoader,3,src\java\org\apache\lucene\analysis\WordlistLoader.java,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\WordlistLoader.java,0.0,NON
org.apache.lucene.analysis.WordlistLoader,3,src\java\org\apache\lucene\analysis\WordlistLoader.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\analysis\WordlistLoader.java,0.0,NON
org.apache.lucene.analysis.WordlistLoader,3,src\java\org\apache\lucene\analysis\WordlistLoader.java,v2.4,RELATIVE:\lucene\lucene-2.4\src\java\org\apache\lucene\analysis\WordlistLoader.java,1.0,NON
org.apache.lucene.analysis.standard.CharStream,2,src\java\org\apache\lucene\analysis\standard\CharStream.java,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\standard\CharStream.java,1.0,NON
org.apache.lucene.analysis.standard.CharStream,2,src\java\org\apache\lucene\analysis\standard\CharStream.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\analysis\standard\CharStream.java,0.0,NON
org.apache.lucene.analysis.standard.FastCharStream,2,src\java\org\apache\lucene\analysis\standard\FastCharStream.java,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\standard\FastCharStream.java,0.0,NON
org.apache.lucene.analysis.standard.FastCharStream,2,src\java\org\apache\lucene\analysis\standard\FastCharStream.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\analysis\standard\FastCharStream.java,0.0,NON
org.apache.lucene.analysis.standard.ParseException,2,src\java\org\apache\lucene\analysis\standard\ParseException.java,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\standard\ParseException.java,1.0,NON
org.apache.lucene.analysis.standard.ParseException,2,src\java\org\apache\lucene\analysis\standard\ParseException.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\analysis\standard\ParseException.java,0.0,NON
org.apache.lucene.analysis.standard.StandardAnalyzer,3,src\java\org\apache\lucene\analysis\standard\StandardAnalyzer.java,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\standard\StandardAnalyzer.java,0.0,NON
org.apache.lucene.analysis.standard.StandardAnalyzer,3,src\java\org\apache\lucene\analysis\standard\StandardAnalyzer.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\analysis\standard\StandardAnalyzer.java,1.0,NON
org.apache.lucene.analysis.standard.StandardAnalyzer,3,src\java\org\apache\lucene\analysis\standard\StandardAnalyzer.java,v2.4,RELATIVE:\lucene\lucene-2.4\src\java\org\apache\lucene\analysis\standard\StandardAnalyzer.java,1.0,NON
org.apache.lucene.analysis.standard.StandardFilter,3,src\java\org\apache\lucene\analysis\standard\StandardFilter.java,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\standard\StandardFilter.java,0.0,NON
org.apache.lucene.analysis.standard.StandardFilter,3,src\java\org\apache\lucene\analysis\standard\StandardFilter.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\analysis\standard\StandardFilter.java,1.0,NON
org.apache.lucene.analysis.standard.StandardFilter,3,src\java\org\apache\lucene\analysis\standard\StandardFilter.java,v2.4,RELATIVE:\lucene\lucene-2.4\src\java\org\apache\lucene\analysis\standard\StandardFilter.java,0.0,NON
org.apache.lucene.analysis.standard.StandardTokenizer,3,src\java\org\apache\lucene\analysis\standard\StandardTokenizer.java,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\standard\StandardTokenizer.java,0.0,NON
org.apache.lucene.analysis.standard.StandardTokenizer,3,src\java\org\apache\lucene\analysis\standard\StandardTokenizer.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\analysis\standard\StandardTokenizer.java,1.0,NON
org.apache.lucene.analysis.standard.StandardTokenizer,3,src\java\org\apache\lucene\analysis\standard\StandardTokenizer.java,v2.4,RELATIVE:\lucene\lucene-2.4\src\java\org\apache\lucene\analysis\standard\StandardTokenizer.java,1.0,NON
org.apache.lucene.analysis.standard.StandardTokenizerConstants,2,src\java\org\apache\lucene\analysis\standard\StandardTokenizerConstants.java,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\standard\StandardTokenizerConstants.java,0.0,NON
org.apache.lucene.analysis.standard.StandardTokenizerConstants,2,src\java\org\apache\lucene\analysis\standard\StandardTokenizerConstants.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\analysis\standard\StandardTokenizerConstants.java,0.0,NON
org.apache.lucene.analysis.standard.StandardTokenizerTokenManager,2,src\java\org\apache\lucene\analysis\standard\StandardTokenizerTokenManager.java,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\standard\StandardTokenizerTokenManager.java,1.0,NON
org.apache.lucene.analysis.standard.StandardTokenizerTokenManager,2,src\java\org\apache\lucene\analysis\standard\StandardTokenizerTokenManager.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\analysis\standard\StandardTokenizerTokenManager.java,0.0,NON
org.apache.lucene.analysis.standard.Token,2,src\java\org\apache\lucene\analysis\standard\Token.java,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\standard\Token.java,0.0,NON
org.apache.lucene.analysis.standard.Token,2,src\java\org\apache\lucene\analysis\standard\Token.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\analysis\standard\Token.java,0.0,NON
org.apache.lucene.analysis.standard.TokenMgrError,2,src\java\org\apache\lucene\analysis\standard\TokenMgrError.java,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\analysis\standard\TokenMgrError.java,0.0,NON
org.apache.lucene.analysis.standard.TokenMgrError,2,src\java\org\apache\lucene\analysis\standard\TokenMgrError.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\analysis\standard\TokenMgrError.java,0.0,NON
org.apache.lucene.document.AbstractField,2,src\java\org\apache\lucene\document\AbstractField.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\document\AbstractField.java,1.0,NON
org.apache.lucene.document.AbstractField,2,src\java\org\apache\lucene\document\AbstractField.java,v2.4,RELATIVE:\lucene\lucene-2.4\src\java\org\apache\lucene\document\AbstractField.java,1.0,NON
org.apache.lucene.document.DateField,3,src\java\org\apache\lucene\document\DateField.java,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\document\DateField.java,0.0,NON
org.apache.lucene.document.DateField,3,src\java\org\apache\lucene\document\DateField.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\document\DateField.java,0.0,NON
org.apache.lucene.document.DateField,3,src\java\org\apache\lucene\document\DateField.java,v2.4,RELATIVE:\lucene\lucene-2.4\src\java\org\apache\lucene\document\DateField.java,1.0,NON
org.apache.lucene.document.DateTools,3,src\java\org\apache\lucene\document\DateTools.java,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\document\DateTools.java,0.0,NON
org.apache.lucene.document.DateTools,3,src\java\org\apache\lucene\document\DateTools.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\document\DateTools.java,1.0,NON
org.apache.lucene.document.DateTools,3,src\java\org\apache\lucene\document\DateTools.java,v2.4,RELATIVE:\lucene\lucene-2.4\src\java\org\apache\lucene\document\DateTools.java,1.0,NON
org.apache.lucene.document.Document,3,src\java\org\apache\lucene\document\Document.java,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\document\Document.java,1.0,NON
org.apache.lucene.document.Document,3,src\java\org\apache\lucene\document\Document.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\document\Document.java,1.0,NON
org.apache.lucene.document.Document,3,src\java\org\apache\lucene\document\Document.java,v2.4,RELATIVE:\lucene\lucene-2.4\src\java\org\apache\lucene\document\Document.java,0.0,NON
org.apache.lucene.document.Field,3,src\java\org\apache\lucene\document\Field.java,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\document\Field.java,1.0,NON
org.apache.lucene.document.Field,3,src\java\org\apache\lucene\document\Field.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\document\Field.java,1.0,NON
org.apache.lucene.document.Field,3,src\java\org\apache\lucene\document\Field.java,v2.4,RELATIVE:\lucene\lucene-2.4\src\java\org\apache\lucene\document\Field.java,1.0,NON
org.apache.lucene.document.FieldSelector,2,src\java\org\apache\lucene\document\FieldSelector.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\document\FieldSelector.java,0.0,NON
org.apache.lucene.document.FieldSelector,2,src\java\org\apache\lucene\document\FieldSelector.java,v2.4,RELATIVE:\lucene\lucene-2.4\src\java\org\apache\lucene\document\FieldSelector.java,0.0,NON
org.apache.lucene.document.FieldSelectorResult,2,src\java\org\apache\lucene\document\FieldSelectorResult.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\document\FieldSelectorResult.java,0.0,NON
org.apache.lucene.document.FieldSelectorResult,2,src\java\org\apache\lucene\document\FieldSelectorResult.java,v2.4,RELATIVE:\lucene\lucene-2.4\src\java\org\apache\lucene\document\FieldSelectorResult.java,1.0,NON
org.apache.lucene.document.Fieldable,2,src\java\org\apache\lucene\document\Fieldable.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\document\Fieldable.java,1.0,NON
org.apache.lucene.document.Fieldable,2,src\java\org\apache\lucene\document\Fieldable.java,v2.4,RELATIVE:\lucene\lucene-2.4\src\java\org\apache\lucene\document\Fieldable.java,1.0,NON
org.apache.lucene.document.LoadFirstFieldSelector,2,src\java\org\apache\lucene\document\LoadFirstFieldSelector.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\document\LoadFirstFieldSelector.java,0.0,NON
org.apache.lucene.document.LoadFirstFieldSelector,2,src\java\org\apache\lucene\document\LoadFirstFieldSelector.java,v2.4,RELATIVE:\lucene\lucene-2.4\src\java\org\apache\lucene\document\LoadFirstFieldSelector.java,0.0,NON
org.apache.lucene.document.MapFieldSelector,2,src\java\org\apache\lucene\document\MapFieldSelector.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\document\MapFieldSelector.java,1.0,NON
org.apache.lucene.document.MapFieldSelector,2,src\java\org\apache\lucene\document\MapFieldSelector.java,v2.4,RELATIVE:\lucene\lucene-2.4\src\java\org\apache\lucene\document\MapFieldSelector.java,0.0,NON
org.apache.lucene.document.NumberTools,3,src\java\org\apache\lucene\document\NumberTools.java,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\document\NumberTools.java,0.0,NON
org.apache.lucene.document.NumberTools,3,src\java\org\apache\lucene\document\NumberTools.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\document\NumberTools.java,0.0,NON
org.apache.lucene.document.NumberTools,3,src\java\org\apache\lucene\document\NumberTools.java,v2.4,RELATIVE:\lucene\lucene-2.4\src\java\org\apache\lucene\document\NumberTools.java,1.0,NON
org.apache.lucene.document.SetBasedFieldSelector,2,src\java\org\apache\lucene\document\SetBasedFieldSelector.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\document\SetBasedFieldSelector.java,0.0,NON
org.apache.lucene.document.SetBasedFieldSelector,2,src\java\org\apache\lucene\document\SetBasedFieldSelector.java,v2.4,RELATIVE:\lucene\lucene-2.4\src\java\org\apache\lucene\document\SetBasedFieldSelector.java,0.0,NON
org.apache.lucene.index.CompoundFileReader,3,src\java\org\apache\lucene\index\CompoundFileReader.java,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\index\CompoundFileReader.java,1.0,NON
org.apache.lucene.index.CompoundFileReader,3,src\java\org\apache\lucene\index\CompoundFileReader.java,v2.2,RELATIVE:\lucene\lucene-2.2\src\java\org\apache\lucene\index\CompoundFileReader.java,1.0,NON
org.apache.lucene.index.CompoundFileReader,3,src\java\org\apache\lucene\index\CompoundFileReader.java,v2.4,RELATIVE:\lucene\lucene-2.4\src\java\org\apache\lucene\index\CompoundFileReader.java,0.0,NON
org.apache.lucene.index.CompoundFileWriter,3,src\java\org\apache\lucene\index\CompoundFileWriter.java,v2.0,RELATIVE:\lucene\lucene-2.0\src\java\org\apache\lucene\index\CompoundFileWriter.java,1.0,NON
