@relation lucene-2.2.arff

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {TRUE,FALSE}

@data
7,3,0,7,22,9,2,6,6,0.7777777779999999,122,0.333333333,1,0.705882353,0.333333333,2,3,16.0,6,1.7143,TRUE
2,4,1,2,4,1,1,1,1,2.0,9,0.0,0,0.875,0.666666667,1,1,3.5,1,0.5,FALSE
6,2,0,7,14,15,3,5,5,2.0,57,0.0,0,0.705882353,0.333333333,2,3,8.5,3,1.1667,TRUE
10,1,0,6,18,0,5,2,10,0.333333333,104,1.0,2,0.0,0.375,1,1,9.2,4,1.4,FALSE
2,1,0,2,2,1,2,0,2,2.0,2,0.0,0,0.0,1.0,0,0,0.0,1,1.0,TRUE
16,1,0,25,99,0,3,24,0,0.691666667,1172,0.9375,8,0.0,0.2,0,0,71.25,1,0.8125,TRUE
11,2,0,4,25,0,1,3,7,0.625,447,1.0,0,0.444444444,0.287878788,1,3,39.27272727,6,1.5455,TRUE
3,2,0,4,8,0,1,3,3,0.0,43,1.0,0,0.666666667,0.833333333,0,0,13.0,1,0.6667,TRUE
17,1,2,49,26,124,47,4,16,0.875,94,1.0,1,0.0,0.175,0,0,4.4117647060000005,1,0.8824,TRUE
6,1,4,15,17,13,14,1,5,0.9,89,0.5,0,0.0,0.6,0,0,13.5,1,0.6667,TRUE
13,3,0,6,30,0,1,6,11,0.4166666670000001,176,1.0,1,0.571428571,0.192307692,2,2,12.38461538,6,1.3077,FALSE
3,1,0,0,8,3,0,0,1,1.0,27,0.0,0,0.0,0.333333333,0,0,7.666666667,2,1.0,FALSE
6,2,0,10,18,9,9,1,5,0.2,65,1.0,0,0.7333333329999999,0.333333333,1,1,9.666666667000001,3,1.1667,TRUE
6,1,5,5,18,5,5,0,1,0.6,88,0.5,0,0.0,0.7,0,0,13.33333333,1,0.5,FALSE
19,1,0,6,48,71,3,6,7,0.75,468,1.0,5,0.0,0.210526316,0,0,23.10526316,3,1.3158,TRUE
18,1,0,10,18,153,9,1,18,2.0,18,0.0,0,0.0,0.37037037,0,0,0.0,1,1.0,TRUE
11,1,0,13,28,19,3,12,5,0.64,338,1.0,6,0.0,0.324675325,0,0,28.81818182,4,1.1818,TRUE
9,3,1,8,27,0,1,7,9,0.0,116,1.0,1,0.666666667,0.259259259,2,2,11.77777778,4,1.3333,FALSE
2,1,0,2,5,1,2,0,1,2.0,36,0.0,0,0.0,0.5,0,0,17.0,4,2.0,FALSE
8,2,0,3,13,0,1,2,7,0.5,204,0.875,1,0.666666667,0.3,1,4,23.5,2,1.0,TRUE
5,2,1,3,16,0,1,2,5,0.5,102,1.0,1,0.2,0.4,1,1,19.0,2,1.0,TRUE
2,1,0,4,2,1,2,2,2,2.0,2,0.0,0,0.0,1.0,0,0,0.0,1,1.0,FALSE
8,1,0,3,12,6,3,1,0,0.80952381,115,0.333333333,1,0.0,0.375,0,0,12.625,2,0.875,TRUE
5,2,0,2,6,10,1,1,4,2.0,15,0.0,0,0.5,1.0,1,1,2.0,1,0.8,FALSE
7,2,0,3,10,21,3,1,7,2.0,54,0.0,0,0.7142857140000001,0.5,1,2,6.714285714,1,0.8571,FALSE
2,2,0,5,4,1,3,2,0,2.0,51,0.0,0,0.916666667,0.666666667,1,3,24.5,6,3.0,FALSE
3,1,0,4,7,3,2,2,3,2.0,28,0.0,0,0.0,0.833333333,0,0,8.333333332999999,2,1.0,TRUE
13,2,0,4,25,0,2,2,10,0.523809524,292,0.857142857,1,0.56,0.208791209,1,3,20.92307692,2,1.0,TRUE
1,5,0,4,2,0,4,0,1,2.0,5,0.0,0,1.0,1.0,0,0,4.0,0,0.0,FALSE
12,1,1,13,33,12,2,12,8,0.690909091,377,0.8666666670000001,4,0.0,0.21875,0,0,29.16666667,1,0.9167,FALSE
16,2,0,9,40,70,2,7,16,0.72,273,1.0,2,0.548387097,0.5,1,5,15.75,1,0.875,TRUE
2,2,0,3,4,1,0,3,2,2.0,10,0.0,0,0.666666667,0.666666667,0,0,4.0,1,0.5,FALSE
6,3,0,1,19,15,1,0,4,1.12,184,0.0,0,0.8125,0.5,1,1,28.83333333,14,2.8333,FALSE
4,1,0,8,39,0,2,6,0,0.8888888890000001,235,0.5,3,0.0,0.375,0,0,56.25,2,1.0,TRUE
15,2,0,6,27,7,1,6,7,0.6122448979999999,287,1.0,1,0.44,0.2,1,3,17.66666667,3,1.0667,TRUE
15,1,5,31,18,103,31,0,15,0.928571429,256,1.0,0,0.0,0.28,0,0,16.0,1,0.9333,TRUE
4,1,2,24,5,6,23,1,4,2.0,9,0.0,0,0.0,1.0,0,0,1.25,1,0.75,TRUE
7,2,0,6,21,0,1,6,5,0.666666667,99,0.333333333,0,0.5,0.375,2,2,12.71428571,3,1.0,TRUE
26,1,0,10,55,0,0,10,22,0.344,705,1.0,4,0.0,0.184615385,0,0,25.73076923,2,1.1538,TRUE
13,2,0,10,38,0,3,7,4,0.7666666670000001,367,0.533333333,6,0.294117647,0.211538462,1,2,26.07692308,1,0.9231,TRUE
4,2,0,4,5,0,1,3,3,0.666666667,65,0.666666667,1,0.7777777779999999,0.476190476,0,0,14.5,4,2.0,FALSE
17,2,0,9,43,48,2,8,13,0.5625,263,1.0,2,0.444444444,0.135746606,2,4,14.29411765,7,1.6471,TRUE
5,1,4,8,6,4,7,1,5,0.5,19,1.0,0,0.0,0.8,0,0,2.6,1,0.8,TRUE
1,4,0,2,2,0,2,0,1,2.0,5,0.0,0,1.0,1.0,0,0,4.0,0,0.0,FALSE
4,2,0,3,10,0,1,2,0,0.484848485,176,1.0,2,0.625,0.625,1,1,40.25,1,0.75,FALSE
1,1,0,3,1,0,3,0,0,2.0,87,0.0,0,0.0,0.0,0,0,68.0,0,0.0,FALSE
36,1,0,5,52,282,1,4,7,0.720300752,3060,0.210526316,1,0.0,0.405714286,0,0,83.47222222,112,7.6389,TRUE
7,2,1,11,20,9,5,7,6,0.5,74,0.0,1,0.666666667,0.265306122,2,3,9.428571429,4,1.2857,TRUE
27,2,0,16,84,193,3,16,21,0.8241758240000001,558,1.0,0,0.697674419,0.168350168,1,9,19.40740741,2,1.037,TRUE
7,3,0,7,22,9,2,6,6,0.7777777779999999,122,0.333333333,1,0.705882353,0.333333333,2,3,16.0,6,1.7143,TRUE
9,2,0,9,26,0,2,8,8,0.3125,143,0.0,2,0.6,0.222222222,2,4,14.66666667,5,1.3333,TRUE
7,3,0,7,22,9,2,6,6,0.7777777779999999,122,0.333333333,1,0.705882353,0.333333333,2,3,16.0,6,1.7143,TRUE
5,1,0,5,18,4,4,3,4,0.8214285709999999,112,1.0,2,0.0,0.35,0,0,20.0,2,1.2,TRUE
9,2,2,7,14,8,5,2,6,0.5,103,1.0,2,0.384615385,0.4074074070000001,1,2,10.22222222,2,1.0,FALSE
8,1,0,27,8,28,25,2,8,2.0,8,0.0,0,0.0,0.3,0,0,0.0,1,1.0,FALSE
45,2,0,31,137,732,6,28,20,0.899793388,1253,0.590909091,10,0.582524272,0.131118881,1,8,26.35555556,28,1.7556,TRUE
14,2,0,17,47,73,2,16,4,0.826923077,361,0.75,3,0.47826087,0.256410256,1,3,24.5,7,1.3571,TRUE
5,2,0,2,15,0,0,2,5,0.125,73,1.0,1,0.333333333,0.55,0,0,13.2,2,1.2,FALSE
13,3,0,6,31,0,1,6,11,0.375,218,1.0,2,0.571428571,0.208791209,2,2,15.61538462,6,1.3077,FALSE
8,2,0,8,19,8,3,6,7,0.428571429,93,1.0,1,0.6315789470000001,0.25,2,3,10.5,5,1.5,TRUE
24,2,0,11,50,0,0,11,19,0.0,171,1.0,1,0.7228915659999999,0.199074074,1,8,6.083333333,1,0.9583,TRUE
8,1,0,2,27,18,1,1,6,0.428571429,567,1.0,0,0.0,0.314285714,0,0,68.875,8,2.5,TRUE
7,1,0,3,12,1,3,0,6,0.27777777800000003,103,1.0,0,0.0,0.6190476189999999,0,0,13.28571429,3,1.0,TRUE
13,1,0,16,14,78,10,8,12,1.041666667,20,0.0,1,0.0,0.427083333,0,0,0.384615385,1,0.9231,TRUE
16,1,0,11,68,8,3,9,4,0.683333333,814,1.0,2,0.0,0.236111111,0,0,49.375,2,1.0,TRUE
1,1,0,2,1,0,2,0,0,2.0,174,0.0,0,0.0,0.0,0,0,136.0,0,0.0,TRUE
3,1,0,5,8,3,5,0,0,1.333333333,205,0.0,0,0.0,0.5,0,0,63.33333333,3,1.0,TRUE
30,4,0,16,75,349,10,8,23,0.936781609,515,0.666666667,0,0.738317757,0.155172414,1,3,15.76666667,6,1.2667,TRUE
11,2,0,8,21,0,2,6,11,2.0,392,0.0,0,0.8,0.352272727,1,4,34.63636364,2,0.7273,TRUE
28,2,1,16,89,86,6,10,23,0.8444444440000001,1021,0.8,0,0.395348837,0.265432099,1,7,35.10714286,2,1.0,TRUE
4,3,0,3,10,2,0,3,3,0.666666667,57,1.0,0,0.571428571,0.625,0,0,12.75,1,0.75,TRUE
11,3,0,8,42,0,3,6,10,0.45,286,1.0,0,0.615384615,0.22077922100000005,2,2,24.81818182,7,1.7273,FALSE
15,1,0,6,41,25,3,5,7,0.747252747,661,0.846153846,3,0.0,0.202380952,0,0,42.2,6,1.5333,FALSE
15,2,0,21,34,0,3,19,14,0.35714285700000004,164,0.5,1,0.666666667,0.18974359,1,3,9.8,1,0.7333,TRUE
62,1,4,118,125,1757,93,27,46,0.877794337,815,1.0,5,0.0,0.102822581,0,0,11.96774194,11,1.2258,TRUE
5,2,0,7,17,0,2,6,5,0.0,62,1.0,1,0.2,0.4,1,1,11.2,2,1.0,TRUE
7,2,0,6,13,0,1,5,6,0.5,189,0.5,0,0.666666667,0.333333333,0,0,25.71428571,1,0.1429,FALSE
10,1,0,9,37,17,1,8,0,0.5555555560000001,659,1.0,4,0.0,0.27777777800000003,0,0,64.2,4,1.1,TRUE
22,1,0,5,38,153,1,4,7,0.8503401359999999,3785,0.114285714,1,0.0,0.380952381,0,0,169.4545455,236,14.0455,FALSE
7,2,0,4,27,9,1,3,4,0.333333333,186,1.0,0,0.5,0.571428571,0,0,25.42857143,2,0.7143,TRUE
3,3,0,3,13,3,0,3,3,2.0,170,0.0,0,0.666666667,0.444444444,0,0,55.66666667,3,1.3333,TRUE
3,1,0,3,4,3,3,0,3,1.4375,23,0.0,2,0.0,0.5,0,0,4.0,2,1.0,FALSE
2,2,0,3,6,0,0,3,2,0.0,18,1.0,1,0.5,0.666666667,0,0,7.5,1,0.5,TRUE
7,3,0,7,22,9,2,6,6,0.7777777779999999,122,0.333333333,1,0.705882353,0.333333333,2,3,16.0,6,1.7143,TRUE
7,2,0,6,21,0,1,6,5,0.666666667,92,0.666666667,0,0.5,0.375,2,2,11.71428571,3,1.0,TRUE
14,1,0,5,28,0,2,3,8,0.288461538,1483,1.0,0,0.0,0.320512821,0,0,104.6428571,10,1.8571,FALSE
18,1,3,7,28,51,3,4,15,0.8099547509999999,503,1.0,0,0.0,0.198412698,0,0,26.22222222,19,2.1667,TRUE
14,2,0,6,38,0,1,6,11,0.384615385,318,1.0,0,0.5,0.171428571,2,5,21.57142857,6,1.5714,TRUE
11,1,0,20,102,1,1,20,0,0.7333333329999999,1192,1.0,5,0.0,0.227272727,0,0,106.0,10,2.3636,FALSE
3,3,0,4,7,3,0,4,3,2.0,20,0.0,0,0.7142857140000001,0.5555555560000001,2,3,5.666666667,1,0.6667,FALSE
10,2,1,6,21,0,3,4,6,0.412698413,340,1.0,1,0.470588235,0.3,1,3,32.3,2,1.1,TRUE
13,1,0,15,22,24,14,1,13,0.75,177,0.166666667,1,0.0,0.384615385,1,1,12.15384615,3,1.0769,TRUE
14,1,0,2,25,3,1,1,13,0.602564103,237,0.0,0,0.0,0.404761905,0,0,15.5,1,0.9286,FALSE
1,4,0,5,2,0,5,0,1,2.0,5,0.0,0,1.0,1.0,0,0,4.0,0,0.0,FALSE
80,1,0,23,171,1344,4,22,52,0.843178622,2846,0.7222222220000001,10,0.0,0.1005996,0,0,34.125,4,0.9875,TRUE
17,1,0,9,35,72,2,7,4,0.65,474,1.0,6,0.0,0.31372549,0,0,26.29411765,4,1.1176,TRUE
2,1,0,2,4,0,0,2,2,0.0,33,1.0,0,0.0,0.666666667,0,0,14.5,3,1.5,FALSE
4,4,0,1,8,6,1,0,4,2.0,20,0.0,0,1.0,0.666666667,0,0,4.0,0,0.0,FALSE
1,1,0,8,2,0,8,0,0,2.0,36,0.0,0,0.0,1.0,0,0,27.0,0,0.0,TRUE
21,2,0,16,58,104,5,15,10,0.65625,511,1.0,3,0.32,0.2375,1,3,22.95238095,6,1.6667,TRUE
